bjd             rv(km/s)        sigRV(km/s)     bis(km/s)
58887.60797     -43.7134        0.0061          0.0194 
58916.47664     -43.7684        0.0091          0.0177 
58917.69296     -43.7675        0.0070          -0.0210
58918.52127     -43.7312        0.0061          -0.0006
58919.56400     -43.7317        0.0097          -0.0693
59006.43351     -43.7241        0.0049          0.0023 
59016.42816     -43.7102        0.0065          -0.0390
59017.45233     -43.7216        0.0060          -0.0122
59018.44308     -43.7682        0.0057          0.0239 
59019.42139     -43.7704        0.0051          -0.0044
59020.42867     -43.7383        0.0070          0.0246 
59056.37566     -43.7588        0.0047          -0.0050
59057.40103     -43.7449        0.0039          -0.0160
59058.35427     -43.7246        0.0045          -0.0002
59059.36318     -43.7301        0.0047          -0.0218
59060.39130     -43.7657        0.0040          0.0047 
59061.36421     -43.7588        0.0040          -0.0018
59062.36612     -43.7381        0.0045          0.0168 
59081.34487     -43.7223        0.0043          0.0130 
59083.32672     -43.7750        0.0040          0.0116 
59107.30036     -43.7707        0.0064          0.0601 
59139.24583     -43.7820        0.0045          -0.0117
59140.25210     -43.7452        0.0043          -0.0021
59141.24915     -43.7280        0.0047          0.0004 
59149.24854     -43.7615        0.0091          -0.0054
59197.71414     -43.7166        0.0039          0.0117 
59245.61019     -43.7788        0.0060          0.0123 
59247.72159     -43.7247        0.0042          -0.0004
59248.66580     -43.7171        0.0041          0.0167 
59270.57337     -43.7374        0.0041          0.0232 
59273.66344     -43.7624        0.0072          -0.0315
59275.55137     -43.7283        0.0041          -0.0091
59278.55668     -43.7879        0.0057          0.0227 
59279.59967     -43.7529        0.0058          0.0082 
59280.62091     -43.7203        0.0047          0.0286 
59303.46737     -43.7274        0.0041          0.0067 
59304.51413     -43.7263        0.0040          0.0085 
59306.54667     -43.7740        0.0045          -0.0135
59327.50658     -43.7152        0.0043          0.0117 
59329.47453     -43.7751        0.0049          0.0172 
59404.40218     -43.7568        0.0064          0.0054 
59561.70916     -43.7554        0.0047          0.0115 
59563.71468     -43.7232        0.0047          0.0275 
59565.71437     -43.7680        0.0045          0.0052 
59567.70234     -43.7269        0.0041          0.0186 
59568.71740     -43.7230        0.0043          0.0087 
59569.69960     -43.7594        0.0045          0.0076 
59570.69963     -43.7590        0.0049          -0.0022
59628.55175     -43.7488        0.0068          0.0230 
59630.63540     -43.7975        0.0093          0.0165 
59660.57446     -43.6940        0.0052          0.0033 
59662.57218     -43.7603        0.0044          0.0123 
59663.51279     -43.7688        0.0043          -0.0216
59683.51875     -43.7194        0.0046          0.0259 
59686.63687     -43.7614        0.0087          0.0486 
59715.42352     -43.7264        0.0043          -0.0087
59771.39786     -43.7410        0.0058          -0.0150
59783.40650     -43.7572        0.0058          0.0004 
59785.43504     -43.7288        0.0047          -0.0059
59787.39647     -43.7698        0.0071          -0.0258
