#
# Full target list for orbit 89, sector 41
# Created Thu Aug  5 13:55:44 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
7620157,2,2,11.72,272.6598,47.1120
7620680,2,2,14.38,272.8612,47.7043
7620681,2,2,11.23,272.8556,47.7042
7620704,2,2,5.81,272.8927,47.6596
7620720,2,2,14.16,272.8190,47.6383
7694690,2,2,8.64,273.4251,46.4835
7695147,2,2,14.47,273.3391,47.3509
7720786,2,2,7.92,274.1726,47.9110
7772664,2,2,12.57,274.1364,46.8573
7778831,2,2,8.49,274.3192,46.7170
7779502,2,2,12.19,274.8065,47.9050
7802164,2,2,10.28,275.1447,47.9402
7802263,2,2,8.13,275.2519,47.7761
7802513,2,2,9.95,275.2495,47.3917
7852039,2,3,8.11,275.4106,45.0715
7852697,2,3,12.55,275.4172,45.9731
7854182,2,2,9.06,275.5485,47.5690
7856273,2,3,8.10,275.4568,44.6774
10757069,1,1,9.11,303.6667,41.8408
10777186,1,3,7.62,297.7697,27.7169
10780610,1,3,16.95,297.7804,27.3868
10784363,1,3,10.74,297.7597,27.0146
10849114,1,1,9.19,303.7389,39.9650
10855755,1,1,9.37,303.6580,38.9248
10856385,1,1,14.00,303.6649,38.8383
10861742,1,1,8.38,303.7359,38.1384
10891640,1,3,9.29,297.7620,25.9543
10981293,1,1,8.98,303.6483,37.5808
10982979,1,1,8.20,303.7603,37.3900
10983000,1,1,9.95,303.6293,37.3882
10983075,1,1,8.96,303.7291,37.3783
10983289,1,1,6.80,303.6268,37.3538
10987644,1,1,9.61,303.7305,36.8535
10988057,1,1,4.79,303.6340,36.8067
10988549,1,1,5.39,303.6651,36.7521
10994342,1,1,8.10,303.6210,36.0353
11039148,1,3,10.32,297.9350,24.6196
11039900,1,3,10.77,297.9878,24.7148
11045504,1,3,9.86,297.8787,25.3607
11111668,1,1,9.25,303.8566,36.6247
11111899,1,1,9.70,303.8248,36.6518
11113164,1,1,10.34,303.9089,36.7935
11113493,1,1,9.31,303.8940,36.8318
11114789,1,1,13.65,303.9163,36.9868
11116617,1,1,16.74,303.9040,37.1897
11117282,1,1,8.72,303.7887,37.2664
11119600,1,1,11.39,303.8232,37.5289
11136205,1,3,9.63,297.9776,26.4860
11145365,1,3,10.78,297.9698,27.4174
11145790,1,3,5.92,297.8788,27.4602
11210189,1,1,9.45,303.7792,39.5074
11218613,1,1,10.08,303.8176,40.9383
11344866,1,1,10.38,303.9975,41.0586
11345334,1,1,7.91,304.0575,40.9633
11354382,1,1,11.31,304.0477,39.3220
11365252,1,2,11.70,297.9725,29.8214
11367235,1,2,9.23,298.0815,29.8340
11469657,1,1,6.30,304.0143,38.8978
11469862,1,1,9.76,304.0581,38.8716
11479883,1,1,9.88,304.0356,37.5564
11480287,1,1,11.03,303.9865,37.5085
11480757,1,1,11.57,303.9830,37.4543
11498256,1,3,5.61,298.0652,28.2517
11499710,1,3,7.62,298.0193,28.0998
11500106,1,3,9.07,298.0421,28.0607
11511493,1,3,10.26,298.0737,26.9540
11575768,1,1,10.70,303.9643,36.0776
11586059,1,1,6.50,304.1173,37.0564
11615886,1,3,9.29,298.0747,26.2633
11618492,1,3,5.98,298.0937,25.9624
11620634,1,3,9.45,298.0936,25.7346
11626063,1,3,15.17,298.1162,25.1590
11627579,1,3,4.85,298.0066,24.9921
11631181,1,3,10.29,298.1069,24.5740
11695763,1,1,7.66,304.1308,37.6420
11695776,1,1,9.45,304.1243,37.6431
11695801,1,1,8.63,304.1352,37.6450
11695830,1,1,11.30,304.1211,37.6478
11695948,1,1,14.34,304.1244,37.6584
11695964,1,1,14.61,304.1832,37.6594
11695968,1,1,14.53,304.0912,37.6597
11696039,1,1,10.20,304.1300,37.6673
11696159,1,1,10.62,304.1878,37.6786
11696250,1,1,9.17,304.1530,37.6869
11696421,1,1,14.79,304.1227,37.7072
11698190,1,1,9.02,304.1217,37.9225
11704852,1,1,11.93,304.1124,38.7613
11705892,1,1,8.04,304.1683,38.8993
11708996,1,1,9.82,304.0786,39.3917
11710677,1,1,8.26,304.2022,39.6973
11713504,1,3,12.05,298.0067,23.9963
11713875,1,3,10.36,298.0149,23.9375
11716579,1,3,16.03,298.2395,24.2248
11728614,1,3,16.51,298.1461,25.5991
11784207,1,1,9.68,304.1466,40.1690
11788343,1,1,7.22,304.1481,40.8856
11789894,1,1,11.24,304.1692,41.2447
11793277,1,1,10.35,304.1741,41.9627
11793436,1,1,8.50,304.2814,41.9573
11798617,1,1,8.07,304.2495,40.8437
11835330,4,4,8.40,176.3044,53.9479
11835419,4,4,10.85,176.3501,53.3912
11844816,1,3,13.72,298.1650,26.9251
11891615,4,4,10.73,176.4162,53.5157
11891826,4,4,8.13,176.9704,53.0152
11893837,4,4,8.96,177.9905,53.2507
11895653,4,4,7.74,178.4587,53.6948
11908422,4,4,9.55,178.8868,53.1861
11910626,1,1,3.78,304.2304,40.3651
11914170,1,1,13.38,304.2733,39.7491
11915139,1,1,6.63,304.3549,39.5935
11916096,1,1,10.99,304.2432,39.4546
11918748,1,1,11.27,304.2514,39.1387
11929884,1,1,6.55,304.3448,38.2356
11938816,4,4,10.28,179.0363,53.7682
11940810,4,4,8.62,179.3805,53.5541
11978361,1,3,8.04,298.2168,28.3456
11982614,1,3,10.64,298.1946,28.7813
11995250,4,4,12.55,179.6189,53.4407
12017514,1,1,7.34,304.2453,37.6814
12021634,1,1,7.72,304.2375,37.1904
12024004,1,1,11.04,304.2446,36.8983
12027523,1,1,10.72,304.2544,36.4397
12029932,1,1,9.28,304.3491,36.1268
12032513,1,1,13.99,304.4206,36.1329
12032538,1,1,11.00,304.4062,36.1370
12078756,1,3,13.75,298.3545,28.4730
12139534,1,1,9.83,304.3822,36.8688
12143153,1,1,8.51,304.3737,37.3086
12148301,1,1,10.28,304.4642,37.9286
12149245,1,1,4.26,304.4466,38.0329
12149788,1,1,10.37,304.3758,38.0990
12149905,1,1,10.84,304.4110,38.1129
12152451,1,1,8.87,304.4981,38.4260
12153830,1,1,8.97,304.4293,38.6028
12196751,1,3,10.82,298.3277,27.3139
12207476,1,3,9.56,298.2848,26.1940
12207515,1,3,9.05,298.3108,26.1891
12249117,1,1,10.56,304.4319,39.3434
12249164,1,1,9.72,304.4258,39.3495
12249935,1,1,8.13,304.5000,39.4910
12253230,1,1,8.85,304.4541,40.0315
12256961,1,1,9.83,304.4944,40.7027
12259118,1,1,8.96,304.4989,41.1304
12333486,1,3,8.96,298.3319,24.8616
12339621,1,3,4.70,298.3655,24.0798
12361752,1,1,9.93,304.5622,41.6443
12365967,1,1,6.04,304.5291,40.7320
12370872,1,1,7.56,304.5652,39.8849
12456725,1,3,14.72,298.5204,25.3137
12466671,1,3,14.12,298.4389,26.3901
12468450,1,3,6.79,298.4696,26.5933
12486276,1,1,8.46,304.6237,38.8777
12489311,1,1,12.58,304.6525,38.6813
12489796,1,1,9.38,304.5690,38.6533
12494582,1,1,9.79,304.5394,38.3077
12496954,1,1,10.55,304.5379,38.0224
12505193,1,1,5.58,304.6197,36.9999
12525309,1,1,7.62,304.6148,36.2542
12578537,1,1,7.05,304.8404,40.8879
12579743,1,1,8.65,304.8863,40.6538
12580749,1,1,9.07,304.8663,40.4617
12583644,1,1,8.18,304.9022,39.9116
12594730,1,3,9.69,298.4592,27.6916
12669331,1,1,9.44,304.9259,39.2233
12670497,1,1,8.41,304.8805,39.0573
12671002,1,1,10.35,304.9334,38.9820
12672166,1,1,9.26,304.8791,38.8189
12672792,1,1,7.38,304.8851,38.7316
12673851,1,1,8.36,304.9471,38.5958
12673900,1,1,10.16,304.9035,38.5890
12675678,1,1,7.18,304.9549,38.3427
12675729,1,1,8.19,304.9114,38.3359
12676794,1,1,9.77,304.9234,38.1850
12679886,1,1,11.00,304.9560,37.7665
12683166,1,1,9.56,304.8842,37.2876
12684336,1,1,6.58,304.9514,37.1325
12807599,1,1,9.36,304.9052,36.2171
12810761,1,1,8.36,305.0481,36.1030
12811898,1,1,7.78,304.9911,36.2689
12815848,1,1,10.36,305.0826,36.8548
12915099,1,1,7.93,305.0372,37.8309
12915124,1,1,11.34,304.9870,37.8353
12915607,1,1,10.59,305.0467,37.9216
12918970,1,1,11.04,305.0564,38.4047
12920495,1,1,10.52,305.0442,38.6255
12920729,1,1,9.79,305.0770,38.6582
12920741,1,1,8.69,305.0398,38.6590
12920834,1,1,10.09,305.0262,38.6711
12921082,1,1,8.97,305.0891,38.6999
12922605,1,1,11.17,305.1000,38.9047
12923201,1,1,9.57,305.0284,38.9808
12925840,1,1,8.59,305.0747,39.3746
12926024,1,1,6.30,305.0634,39.4031
12934441,1,3,10.88,298.5288,27.3099
12938488,1,3,14.63,298.5426,26.8789
12940323,1,3,10.86,298.5635,26.6830
12993102,1,1,11.47,305.0418,40.7659
13000701,1,1,11.28,304.9979,41.8885
13002588,1,1,8.37,305.1719,41.4744
13002932,1,1,9.59,305.1177,41.3643
13003355,1,1,9.28,305.2068,41.2192
13006615,1,1,11.13,305.1282,40.4602
13017011,1,3,5.58,298.6296,24.3194
13019454,1,3,12.18,298.5335,23.9945
13116289,1,1,8.27,305.1874,39.3657
13116674,1,1,9.92,305.2029,39.3097
13118749,1,1,9.19,305.2556,39.0144
13120899,1,1,10.59,305.1888,38.7213
13121072,1,1,11.09,305.1186,38.6992
13124091,1,1,7.70,305.2015,38.2565
13127530,1,1,8.06,305.2309,37.7321
13248512,1,1,9.07,305.2766,36.8085
13249293,1,1,8.64,305.3822,36.9202
13249363,1,1,4.74,305.3412,36.9321
13252071,1,1,10.24,305.3815,37.3448
13252288,1,1,10.63,305.3535,37.3800
13252446,1,1,6.93,305.3140,37.4086
13252478,1,1,10.00,305.3899,37.4143
13252500,1,1,10.29,305.4153,37.4182
13252516,1,1,9.12,305.4112,37.4209
13252522,1,1,10.13,305.4087,37.4214
13325866,1,1,5.09,305.4106,37.5330
13332559,1,1,10.91,305.3666,38.5758
13332665,1,1,11.33,305.3566,38.5905
13332837,1,1,9.41,305.3964,38.6132
13336035,1,1,7.53,305.2814,39.0315
13338125,1,1,10.01,305.3265,39.3540
13340937,1,1,6.85,305.3863,39.8293
13415581,1,1,4.67,305.4009,40.4472
13418870,1,1,6.77,305.3576,41.1943
13419950,1,1,9.65,305.2894,41.4624
13423575,1,1,12.19,305.5116,41.3940
13424469,1,1,5.45,305.5128,41.1321
13425057,1,1,7.01,305.5227,40.9856
13425110,1,1,12.93,305.5620,40.9764
13425157,1,1,11.61,305.5083,40.9618
13431346,1,1,1.89,305.5571,40.2567
13432166,1,1,11.73,305.4344,40.1502
13434305,1,1,8.01,305.5089,39.8329
13543144,1,1,8.67,305.4837,39.4591
13549299,1,1,8.01,305.4622,38.6294
13557651,1,1,10.16,305.4472,37.4422
13558301,1,1,13.04,305.5412,37.3388
13683683,1,1,10.14,305.4581,36.2029
13684720,1,1,12.46,305.5383,36.0649
13691974,1,1,8.31,305.7115,36.9109
13692080,1,1,10.42,305.6344,36.9319
13779328,1,1,7.92,305.6889,37.9615
13780417,1,1,7.37,305.6482,38.1293
13780749,1,1,9.93,305.6743,38.1770
13784783,1,1,8.42,305.5873,38.7248
13785212,1,1,10.02,305.6164,38.7810
13786188,1,1,9.59,305.6010,38.9055
13792355,1,1,10.77,305.5754,39.7967
13866844,1,1,9.71,305.6839,40.5881
13867573,1,1,6.94,305.6865,40.7146
13869331,1,1,4.35,305.6887,41.0257
13870628,1,1,13.86,305.6358,41.4153
13873946,1,1,8.44,305.8410,41.5105
13875321,1,1,11.73,305.7914,41.0990
13876281,1,1,10.38,305.7542,40.8929
13876370,1,1,7.41,305.7949,40.8749
13876732,1,1,10.84,305.8278,40.8106
13876799,1,1,11.01,305.8191,40.8005
13877006,1,1,9.45,305.7815,40.7691
13877064,1,1,9.99,305.7456,40.7609
13877074,1,1,5.84,305.8257,40.7590
13877346,1,1,13.12,305.7153,40.7153
13880268,1,1,8.55,305.8451,40.1562
13966711,1,1,8.76,305.7650,39.4972
13967727,1,1,8.56,305.7562,39.3446
13968858,1,1,8.92,305.7951,39.1623
13970315,1,1,7.58,305.8596,38.9391
13971092,1,1,10.04,305.7779,38.8210
13972612,1,1,10.46,305.8585,38.6040
13973539,1,1,8.87,305.7620,38.4558
13974582,1,1,11.47,305.7385,38.3068
13976604,1,1,10.89,305.8404,38.0018
14101482,1,1,8.83,305.9584,36.5225
14106718,1,1,8.28,305.8877,37.3072
14200511,1,1,6.12,305.9349,37.4764
14206699,1,1,10.73,305.9947,38.4325
14206948,1,1,8.58,305.9792,38.4663
14207008,1,1,11.03,305.9285,38.4759
14207082,1,1,10.52,305.9795,38.4855
14207118,1,1,8.18,305.9624,38.4928
14207175,1,1,8.08,305.9415,38.5008
14207176,1,1,11.25,305.9537,38.5010
14207237,1,1,12.06,305.9896,38.5096
14207262,1,1,8.13,306.0054,38.5137
14207366,1,1,9.44,305.9981,38.5300
14208188,1,1,11.08,306.0094,38.6605
14209654,1,1,8.03,305.8977,38.8824
14210890,1,1,11.83,305.9117,39.0620
14211160,1,1,8.69,305.9966,39.1043
14212879,1,1,9.34,305.8689,39.3497
14312409,1,1,10.51,305.8906,40.7555
14318263,1,1,11.61,306.0367,41.6474
14410717,1,1,7.93,306.0194,38.5381
14411033,1,1,8.12,306.0272,38.4925
14419175,1,1,11.16,306.1415,37.1676
14541657,1,1,8.77,306.2789,37.4656
14617089,1,1,11.94,306.3157,37.5549
14621767,1,1,10.44,306.2098,38.3096
14623138,1,1,16.58,306.1699,38.5452
14627618,1,1,8.60,306.2416,39.4583
14630689,1,1,5.58,306.2034,40.1537
14730936,1,1,11.03,306.3068,41.6169
14734427,1,1,9.67,306.3423,41.4911
14741325,1,1,7.97,306.3422,40.2170
14741340,1,1,9.01,306.3704,40.2150
14833493,1,1,8.62,306.3931,38.9031
14834053,1,1,9.93,306.3432,38.7904
14842303,1,1,10.35,306.3777,37.4300
14842608,1,1,8.34,306.4192,37.3741
