#
# Full target list for orbit 103, sector 48
# Created Wed Jan 26 14:14:38 EST 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1027045,1,4,10.48,153.8698,28.8892
1027083,1,4,12.51,153.7975,28.6955
1027928,1,4,8.63,154.0425,24.3385
1027996,1,4,11.41,154.0181,24.7369
1028186,1,4,8.93,153.9692,25.8336
1042290,1,4,9.72,153.9363,27.4175
1042350,1,4,9.81,153.9706,27.8192
1042432,1,4,11.40,153.9292,28.3552
1042735,1,4,9.46,154.0528,29.5651
1042770,1,4,5.52,154.0596,29.3103
1042868,1,4,5.87,154.1165,28.6819
1042982,1,4,14.42,154.1432,27.8607
1043105,1,4,8.12,154.1705,27.1071
1043354,1,4,16.66,154.0704,25.4157
1043359,1,4,4.80,154.1731,25.3707
1043700,1,4,10.35,154.2495,24.2866
1043761,1,4,10.15,154.2967,24.6545
1043853,1,4,8.65,154.2815,25.1297
1044165,1,4,11.82,154.2494,27.0394
1044606,1,4,8.49,154.2801,29.5543
1044740,1,4,8.31,154.3526,29.4827
1044748,1,4,8.14,154.4212,29.4538
1065668,1,4,9.00,154.3454,28.0638
1065794,1,4,11.24,154.3451,27.2264
1065821,1,4,11.43,154.4357,27.0664
1065846,1,4,11.13,154.3360,26.8940
1065959,1,4,9.88,154.4210,26.2703
1066142,1,4,9.78,154.3282,25.2130
1066319,1,4,9.69,154.3483,24.2803
1066472,1,4,10.99,154.4533,24.5076
1066665,1,4,17.03,154.5179,25.5522
1066699,1,4,9.99,154.5674,25.7853
1066738,1,4,11.52,154.5672,26.0477
1066927,1,4,9.97,154.4597,27.2014
1066957,1,4,6.58,154.5436,27.4155
1067416,1,4,9.15,154.6774,29.3539
1067501,1,4,10.78,154.6440,28.8102
1067514,1,4,10.89,154.6131,28.7360
1067536,1,4,11.00,154.5942,28.5352
1067846,1,4,10.11,154.6431,26.4143
1067965,1,4,11.53,154.6065,25.6704
1068259,1,4,11.77,154.5893,24.0972
1095253,1,4,10.65,154.7756,24.3586
1095312,1,4,5.18,154.7526,24.7122
1095347,1,4,9.56,154.8085,24.9097
1096524,1,4,10.06,154.9323,27.5633
