#
# Full target list for orbit 107, sector 50
# Created Mon Feb 28 10:01:21 EST 2022 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
3960385,1,1,11.37,218.2985,12.1842
3960629,1,1,11.25,218.2767,13.0900
3960701,1,1,16.22,218.2722,13.4422
3960725,1,1,10.04,218.3340,13.5324
3960861,1,1,12.79,218.3823,14.2096
3960869,1,1,8.66,218.3654,14.2295
3961043,1,1,10.47,218.3642,15.0220
3961344,2,4,10.66,218.2981,16.5608
3961451,2,4,8.72,218.3002,17.1448
3961780,2,4,11.51,218.4289,16.9683
3962009,1,1,9.49,218.4472,15.8413
3962059,1,1,8.83,218.5037,15.6331
3962250,1,1,9.45,218.5075,14.7287
3962570,1,1,8.06,218.4461,13.3169
3962707,1,1,10.43,218.4397,12.6591
3962839,1,1,12.75,218.4775,12.0726
3985288,1,1,10.39,218.5613,14.2683
3985450,1,1,16.13,218.5280,15.1382
3985524,1,1,11.44,218.5757,15.4916
3985549,1,1,9.32,218.5315,15.6097
3985610,1,1,10.94,218.5165,15.8813
3985764,2,4,10.43,218.5697,16.7703
3985967,2,4,11.54,218.5696,17.8010
3985974,2,4,12.09,218.5971,17.8438
3986550,1,1,10.72,218.6873,15.3914
3986871,1,1,13.71,218.6677,14.0116
3987019,1,1,12.47,218.6670,13.4123
3987095,1,1,7.04,218.7536,13.0956
3987258,1,1,10.38,218.6947,12.4026
3987311,1,1,9.46,218.7323,12.2368
3987425,1,1,11.45,218.8018,12.2205
3987582,1,1,9.13,218.7987,12.8601
3987587,1,1,11.03,218.8634,12.8892
3987674,1,1,8.58,218.8307,13.2432
3987794,1,1,10.88,218.8627,13.7303
3987903,1,1,10.40,218.7707,14.2051
3987960,1,1,16.59,218.8371,14.4773
3987995,1,1,11.77,218.7635,14.6771
3988042,1,1,13.02,218.8514,14.8926
3991093,1,1,10.22,218.7758,15.4241
3991165,1,1,14.07,218.8290,15.6705
3991386,2,4,9.80,218.8683,16.5982
3991434,2,4,11.60,218.8599,16.8289
3991455,2,4,12.64,218.7771,16.8960
3991467,2,4,11.36,218.8273,16.9463
3991757,2,4,9.87,218.9739,17.6307
3991779,2,4,8.52,218.9427,17.5328
3991796,2,4,13.06,218.9616,17.4361
3992099,2,4,11.21,218.9258,16.0516
3992548,1,1,10.07,218.9752,14.0054
3993138,1,1,8.98,219.0130,12.5749
3993398,1,1,8.81,219.0227,13.6721
3993568,1,1,12.35,219.0790,14.3864
3994117,2,4,11.67,219.1293,16.7584
9026376,2,1,9.75,221.3503,34.4547
9026626,2,1,11.31,221.4244,33.2749
9026834,2,1,10.99,221.3831,32.2481
9026836,2,1,11.13,221.4203,32.2356
9027124,2,1,11.15,221.4213,30.9240
9027263,2,1,10.43,221.3633,30.2776
9027657,2,1,10.87,221.5858,31.3214
9027768,2,1,11.91,221.5478,31.7862
9028028,2,1,8.31,221.4669,33.1223
9028248,2,1,9.77,221.5422,34.2238
9028478,2,1,10.93,221.5332,35.3989
9028484,2,1,10.16,221.6021,35.4185
9028705,2,1,11.03,221.6887,35.2356
9028820,2,1,10.30,221.7096,34.7096
9028892,2,1,11.25,221.6406,34.3305
9028911,2,1,9.19,221.6709,34.2435
9028990,2,1,8.66,221.6546,33.8411
9029037,2,1,11.43,221.6465,33.5553
9029240,2,1,7.53,221.6182,32.4993
9036152,2,1,10.82,221.6370,31.4807
9036288,2,1,8.66,221.6979,30.7797
9036479,2,1,10.73,221.6551,29.9173
9036703,2,1,9.47,221.7556,31.0002
9036901,2,1,11.60,221.8227,31.8410
9037539,2,1,16.04,221.7489,34.8856
9037787,2,1,7.11,221.9579,35.6548
9038352,2,1,11.26,221.9682,32.7805
9038386,2,1,11.19,221.9205,32.5333
9039243,2,1,14.10,222.0440,31.3008
9058158,2,1,10.53,222.1050,32.0875
9058227,2,1,8.97,222.1475,32.4450
9058449,2,1,9.60,222.0481,33.6308
9058724,2,1,10.01,222.1287,35.0554
9058943,2,1,9.47,222.2459,35.6898
9058980,2,1,11.32,222.2325,35.5047
9059016,2,1,10.39,222.2686,35.3382
9059268,2,1,11.36,222.1863,34.1502
9059897,2,1,10.30,222.2044,31.0111
9060645,2,1,10.82,222.3223,32.5173
9060650,2,1,10.89,222.3946,32.5502
9060990,2,1,10.35,222.3945,34.1961
9061155,2,1,11.40,222.3261,34.9463
9061195,2,1,8.07,222.3555,35.1919
9065896,2,1,9.25,222.4875,30.5786
9066195,2,1,10.56,222.6292,29.9611
9066623,2,1,10.24,222.6327,30.9387
9066639,2,1,10.33,222.6097,30.9757
9068126,2,1,11.46,222.6171,35.0268
9068282,2,1,11.47,222.6609,35.4701
9068655,2,1,11.36,222.7730,35.2598
9068811,2,1,10.66,222.7439,34.7796
9069094,2,1,10.87,222.7524,34.0727
9069250,2,1,13.56,222.8217,33.6289
9069481,2,1,8.67,222.7450,32.9646
9094160,2,1,9.94,222.7908,31.1101
9094287,2,1,11.11,222.8401,30.5612
9094595,2,1,11.05,222.9718,30.7205
9095061,2,1,10.56,222.9679,32.9686
9095091,2,1,11.84,222.9325,33.0841
9095174,2,1,9.25,222.9908,33.6307
9095304,2,1,8.55,222.9021,34.3892
9095429,2,1,11.07,222.9883,35.1268
9095476,2,1,10.55,222.9951,35.3994
9096669,2,1,10.55,223.2702,30.0296
9096744,2,1,10.27,223.1986,30.4623
9096898,2,1,8.38,223.1944,31.2053
9103808,2,1,10.50,223.2786,31.7996
9103960,2,1,8.17,223.1786,32.4517
9103977,2,1,10.01,223.1972,32.5406
9104004,2,1,6.43,223.2230,32.6909
9105143,2,1,11.97,223.3807,33.0558
9105870,2,1,8.57,223.4319,30.9580
9105884,2,1,11.31,223.5173,31.0246
9106563,2,1,11.28,223.4379,34.8974
9106724,2,1,8.65,223.4663,35.7944
10728867,3,1,10.47,211.9550,51.9527
10729164,3,1,9.74,212.0113,49.9031
10729347,3,1,11.27,211.9530,49.0211
10729459,3,1,6.42,211.9845,48.2107
10747470,3,1,9.73,212.2527,51.0865
10747499,3,1,10.99,212.3635,50.8432
10747553,3,1,10.32,212.3531,50.5137
10747750,3,1,9.63,212.3661,49.1248
10747908,3,1,8.53,212.2999,47.9819
