pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
2MASS J21402931+1625183 A b,1,1,Imaging,2009,W. M. Keck Observatory,Published Confirmed,7336.50000000,1934.50000000,-584.00000000,0,,,,,10.310,4.370,-4.040,0,0.920,0.390,-0.360,0,6657.48000,26629.91000,-6657.48000,0,20.95000,83.79000,-20.95000,0,,,,,0.260000,0.060000,-0.060000,0,,,,,2075,70,-70,0,,,,,,,,,,,,,M8.5,2300.00,80.00,-80.00,0,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0,,,,
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73654370,0.00000520,-0.00000520,0,0.015440,0.000090,-0.000090,0,2.080,0.160,-0.170,0,0.186,0.014,-0.015,0,7.81000,0.58000,-0.53000,0,0.02457,0.00182,-0.00167,0,4.78000,1.31000,-1.20000,0,0.061000,0.065000,-0.043000,0,,,,,1958,15,-15,0,0.1600,0.1300,-0.1000,0,0.041000,0.006300,-0.006300,0,0.02020,0.00150,-0.00160,0,,5234.00,30.00,-30.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.310,0.040,-0.040,0
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73654000,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,2.000,0.140,-0.140,0,0.178,0.012,-0.012,0,8.63000,0.35000,-0.35000,0,0.02700,0.00100,-0.00100,0,5.90000,1.50000,-1.10000,0,,,,,,,,,,,,,0.0000,0.2400,-0.2400,0,0.038000,0.005200,-0.005200,0,0.01950,0.00130,-0.00130,0,G8 V,,,,,0.94,0.01,-0.01,0,0.96,0.05,-0.03,0,,,,
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73654600,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,2.173,0.097,-0.098,0,0.194,0.009,-0.009,0,8.37000,0.38000,-0.38000,0,0.02600,0.00100,-0.00100,0,4.50000,0.20000,-0.20000,0,0.000000,,,0,,,,,,,,,,,,,,,,,,,,,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,1.910,0.080,-0.080,0,0.170,0.007,-0.007,0,8.08000,0.31000,-0.31000,0,0.02542,0.00098,-0.00098,0,6.40000,0.80000,-0.70000,0,,,,,,,,,,,,,0.4100,0.0500,-0.0500,0,,,,,0.01870,0.00070,-0.00070,0,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,6.66000,0.43000,-0.40000,0,0.050000,0.030000,-0.030000,0,,,,,,,,,0.3900,0.0300,-0.0300,0,,,,,0.01820,0.00020,-0.00020,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0.73700000,,,0,,,,,1.897,0.044,-0.046,0,0.169,0.004,-0.004,0,7.74000,0.37000,-0.30000,0,0.02435,0.00116,-0.00094,0,6.25000,0.74000,-0.70000,0,,,,,,,,,,,,,,,,,,,,,0.01821,0.00027,-0.00029,0,,5172.00,18.00,-18.00,0,0.95,0.02,-0.02,0,0.87,0.05,-0.04,0,0.350,0.100,-0.100,0
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,8.46300000,0.00000200,-0.00000200,0,0.064500,0.001300,-0.001300,0,4.070,0.170,-0.170,0,0.363,0.015,-0.015,0,17.00000,5.00000,-5.00000,0,0.05349,0.01573,-0.01573,0,1.40000,0.40000,-0.40000,0,0.000000,,,0,,,,,593,21,-21,0,0.1800,0.1100,-0.1100,0,,,,,0.04960,0.00070,-0.00070,0,,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,,,,
AU Mic b,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,0.375,0.018,-0.018,0,57.20940,,,1,0.18000,,,1,4.40000,,,1,0.100000,0.170000,-0.090000,0,,,,,,,,,0.1600,0.1400,-0.1100,0,,,,,0.05140,0.00130,-0.00130,0,,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,,,,
AU Mic c,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,18.85901900,0.00001600,-0.00001600,0,0.110100,0.002200,-0.002200,0,3.240,0.160,-0.160,0,0.289,0.014,-0.014,0,13.60000,11.40000,-11.40000,0,0.04279,0.03587,-0.03587,0,2.30000,1.80000,-1.90000,0,0.000000,,,0,,,,,454,16,-16,0,0.5100,0.2100,-0.2100,0,,,,,0.03950,0.00110,-0.00110,0,,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,,,,
