pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
11 Com b,1,Published Confirmed,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,6165.60000,476.70000,-476.70000,0,,,,,,,,,,,,,19.40000,1.50000,-1.50000,0,Msini,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,,,,,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,,,,,2.9430000,0.3340000,-0.3340000
11 UMi b,1,Published Confirmed,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,4684.81420,794.57500,-794.57500,0,,,,,,,,,,,,,14.74000,2.50000,-2.50000,0,Msini,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,,,,,2.8760000,0.2300000,-0.2300000
14 And b,1,Published Confirmed,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,1525.50000,,,0,,,,,,,,,,,,,4.80000,,,0,Msini,,,,,0.000000,,,0,,,,,,,,,,,,,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,,,,,3.0190000,0.1800000,-0.1800000
14 Her b,1,Published Confirmed,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,2559.47216,518.69596,-280.64248,0,,,,,,,,,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,,,,,0.373000,0.008000,-0.006000,0,,,,,,,,,,,,,,,,,0.91,0.11,-0.11,0,,,,,,,,,5.1580000,0.0290000,-0.0290000
16 Cyg B b,1,Published Confirmed,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,565.73740,25.42640,-25.42640,0,,,,,,,,,,,,,1.78000,0.08000,-0.08000,0,Msini,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,,,,,4.9930000,0.0370000,-0.0370000
17 Sco b,1,Published Confirmed,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,1373.01872,47.67426,-38.13941,0,,,,,,,,,,,,,4.32000,0.15000,-0.12000,0,Msini,,,,,0.060000,0.030000,-0.020000,0,,,,,,,,,,,,,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,5.130,2.120,-1.330,0,2.9430000,0.2700000,-0.2700000
18 Del b,1,Published Confirmed,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,3273.50000,,,0,,,,,,,,,,,,,10.30000,,,0,Msini,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,,,,,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,,,,,4.0320000,0.2360000,-0.2360000
1RXS J160929.1-210524 b,1,Published Confirmed,,,,,330.000000,,,0,3000.00000,300.00000,-300.00000,0,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1700,100,-100,0,,,,,,,,,0.85,0.20,-0.10,0,,,,,0.005,,,0,9.8200000,0.0270000,-0.0270000
24 Boo b,1,Published Confirmed,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,289.22530,41.31790,-31.78300,0,,,,,,,,,,,,,0.91000,0.13000,-0.10000,0,Msini,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,,,,,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,6.920,4.830,-2.750,0,3.8450000,0.2400000,-0.2400000
24 Sex b,1,Published Confirmed,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,632.46000,82.63000,-120.77000,0,,,,,,,,,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,,,,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,2.700,0.400,-0.400,0,5.2920000,0.3380000,-0.3380000
