pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
11 Com b,0,Published Confirmed,,,,,1.210000,0.060000,-0.050000,0,5434.70000,540.30000,-413.20000,0,,,,,,,,,,,,,17.10000,1.70000,-1.30000,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,2.60,0.40,-0.30,0,,,,,,,,,2.9430000,0.3340000,-0.3340000
11 Com b,1,Published Confirmed,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,6165.60000,476.70000,-476.70000,0,,,,,,,,,,,,,19.40000,1.50000,-1.50000,0,Msini,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,,,,,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,,,,,2.9430000,0.3340000,-0.3340000
11 UMi b,0,Published Confirmed,,,,,1.510000,0.060000,-0.050000,0,3432.40000,381.40000,-413.20000,0,,,,,,,,,,,,,10.80000,1.20000,-1.30000,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,1.70,0.40,-0.30,0,,,,,,,,,2.8760000,0.2300000,-0.2300000
11 UMi b,1,Published Confirmed,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,4684.81420,794.57500,-794.57500,0,,,,,,,,,,,,,14.74000,2.50000,-2.50000,0,Msini,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,,,,,2.8760000,0.2300000,-0.2300000
11 UMi b,0,Published Confirmed,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,3337.07000,785.01000,-785.01000,0,,,,,,,,,,,,,10.50000,2.47000,-2.47000,0,Msini,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,24.08,1.84,-1.84,0,1.80,0.25,-0.25,0,0.040,0.040,-0.040,0,1.560,0.540,-0.540,0,2.8760000,0.2300000,-0.2300000
14 And b,0,Published Confirmed,,,,,0.680000,0.030000,-0.060000,0,1017.00000,127.10000,-190.70000,0,,,,,,,,,,,,,3.20000,0.40000,-0.60000,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,1.20,0.40,-0.30,0,,,,,,,,,3.0190000,0.1800000,-0.1800000
14 And b,1,Published Confirmed,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,1525.50000,,,0,,,,,,,,,,,,,4.80000,,,0,Msini,,,,,0.000000,,,0,,,,,,,,,,,,,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,,,,,3.0190000,0.1800000,-0.1800000
14 Her b,1,Published Confirmed,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,2559.47216,518.69596,-280.64248,0,,,,,,,,,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,,,,,0.373000,0.008000,-0.006000,0,,,,,,,,,,,,,,,,,0.91,0.11,-0.11,0,,,,,,,,,5.1580000,0.0290000,-0.0290000
14 Her b,0,Published Confirmed,,,,,2.730000,,,0,1440.66300,,,0,,,,,,,,,,,,,4.53300,,,0,Msini,,,,,0.357000,,,0,,,,,,,,,,,,,,,,,0.90,,,0,,,,,,,,,5.1580000,0.0290000,-0.0290000
14 Her b,0,Published Confirmed,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,1474.67000,60.39000,-60.39000,0,,,,,,,,,,,,,4.64000,0.19000,-0.19000,0,Msini,,,,,0.369000,0.005000,-0.005000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1580000,0.0290000,-0.0290000
14 Her b,0,Published Confirmed,1796.40000000,8.30000000,-8.30000000,0,2.800000,,,0,1506.45000,19.07000,-19.07000,0,,,,,,,,,,,,,4.74000,0.06000,-0.06000,0,Msini,,,,,0.338000,0.011000,-0.011000,0,,,,,,,,,,,,,,,,,0.90,,,0,0.510,0.060,-0.060,0,3.900,,,0,5.1580000,0.0290000,-0.0290000
14 Her b,0,Published Confirmed,1766.41000000,0.67000000,-0.68000000,0,2.830000,0.041000,-0.041000,0,1541.46777,47.67426,-47.67426,0,,,,,,,,,,,,,4.85000,0.15000,-0.15000,0,Msini,,,,,0.367400,0.003500,-0.003800,0,,,,,,,,,,,,,1.00,0.02,-0.02,0,0.97,0.04,-0.04,0,0.405,0.047,-0.047,0,,,,,5.1580000,0.0290000,-0.0290000
