pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
55 Cnc e,1,Published Confirmed,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,7.99000,0.32000,-0.33000,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,Mass,6.66000,0.43000,-0.40000,0,0.050000,0.030000,-0.030000,0,,,,,,,,,0.3900,0.0300,-0.0300,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,,,,,4.7680000,0.2440000,-0.2440000
BD+20 594 b,1,Published Confirmed,41.68550000,0.00300000,-0.00300000,0,,,,,22.24810,9.53490,-9.53490,0,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.150,,,0,,,,,9.7700010,0.0220000,-0.0220000
CFHTWIR-Oph 98 b,1,Published Confirmed,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,2479.06157,222.47988,-254.26273,0,20.849,0.560,-0.560,0,1.860,0.050,-0.050,0,2479.06157,222.47988,-254.26273,0,7.80000,0.70000,-0.80000,0,Mass,,,,,,,,,,,,,1800,40,-40,0,,,,,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,,,0.003,,,0,16.7750000,0.1760000,-0.1760000
COCONUTS-2 b,1,Published Confirmed,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,2002.31896,476.74261,-603.87397,0,12.442,0.336,-0.336,0,1.110,0.030,-0.030,0,2002.31896,476.74261,-603.87397,0,6.30000,1.50000,-1.90000,0,Mass,,,,,,,,,,,,,434,9,-9,0,,,,,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,0.000,0.080,-0.080,0,0.475,0.325,-0.325,0,7.4060000,0.0210000,-0.0210000
CoRoT-1 b,1,Published Confirmed,1.50895570,0.00000640,-0.00000640,0,,,,,327.35000,38.14000,-38.14000,0,16.700,0.900,-0.900,0,1.490,0.080,-0.080,0,327.35000,38.14000,-38.14000,0,1.03000,0.12000,-0.12000,0,Mass,0.38000,0.05000,-0.05000,0,0.000000,,,0,,,,,1898,50,-50,0,,,,,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.300,0.250,-0.250,0,,,,,12.4620000,0.0290000,-0.0290000
CoRoT-10 b,1,Published Confirmed,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,874.00000,50.85000,-50.85000,0,10.870,0.780,-0.780,0,0.970,0.070,-0.070,0,874.00000,50.85000,-50.85000,0,2.75000,0.16000,-0.16000,0,Mass,3.70000,0.83000,-0.83000,0,0.530000,0.040000,-0.040000,0,,,,,600,23,-23,0,0.8500,0.0300,-0.0300,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.260,0.070,-0.070,0,3.000,,,1,12.5270000,0.0250000,-0.0250000
CoRoT-11 b,1,Published Confirmed,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,740.51000,108.06000,-108.06000,0,16.030,0.340,-0.340,0,1.430,0.030,-0.030,0,740.51000,108.06000,-108.06000,0,2.33000,0.34000,-0.34000,0,Mass,0.99000,0.15000,-0.15000,0,0.000000,,,0,,,,,1657,55,-55,0,0.8180,0.0080,-0.0080,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.030,0.080,-0.080,0,2.000,1.000,-1.000,0,11.5890000,0.0210000,-0.0210000
CoRoT-12 b,1,Published Confirmed,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,291.43800,22.24700,-20.65800,0,16.140,1.460,-1.460,0,1.440,0.130,-0.130,0,291.43800,22.24700,-20.65800,0,0.91700,0.07000,-0.06500,0,Mass,0.41100,0.12900,-0.09400,0,0.070000,0.063000,-0.042000,0,,,,,1442,58,-58,0,0.5730,0.0270,-0.0300,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,0.160,0.100,-0.100,0,6.300,3.100,-3.100,0,14.0240000,0.0320000,-0.0320000
CoRoT-13 b,1,Published Confirmed,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,415.70400,20.97600,-20.97600,0,9.920,0.157,-0.157,0,0.885,0.014,-0.014,0,415.70400,20.97600,-20.97600,0,1.30800,0.06600,-0.06600,0,Mass,2.34000,0.23000,-0.23000,0,0.000000,,,0,,,,,1700,,,0,0.3740,0.0540,-0.0540,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,0.010,0.070,-0.070,0,1.635,1.515,-1.515,0,13.7100000,0.0240000,-0.0240000
CoRoT-14 b,1,Published Confirmed,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,2415.40000,190.70000,-190.70000,0,12.220,0.780,-0.780,0,1.090,0.070,-0.070,0,2415.40000,190.70000,-190.70000,0,7.60000,0.60000,-0.60000,0,Mass,7.30000,1.50000,-1.50000,0,0.000000,,,0,,,,,1952,66,-66,0,0.8600,0.0200,-0.0200,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,0.050,0.150,-0.150,0,4.200,3.800,-3.800,0,14.3210000,0.0360000,-0.0360000
