pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
11 Com b,1,Published Confirmed,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.231000,0.005000,-0.005000,0,,,,,,,,,,,,,,,,,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,2.243,0.071,-0.085,0,2.31,0.10,-0.10,0,,,,,,,,,93.1846000,1.9238000,-1.9238000,2.9430000,0.3340000,-0.3340000
11 UMi b,1,Published Confirmed,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.080000,0.030000,-0.030000,0,,,,,,,,,,,,,,,,,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,,,,,1.93,0.07,-0.07,0,,,,,,,,,125.3210000,1.9765000,-1.9765000,2.8760000,0.2300000,-0.2300000
14 And b,1,Published Confirmed,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,,,,,,,,,,,,,,,,,Msini,,,,,0.000000,,,0,,,,,,,,,,,,,,,,,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,1.763,,,0,2.63,0.07,-0.07,0,,,,,,,,,75.4392000,0.7140000,-0.7140000,3.0190000,0.1800000,-0.1800000
14 Her b,1,Published Confirmed,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,,,,,,,,,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,,,,,0.373000,0.008000,-0.006000,0,,,,,,,,,144.652,6.279,-3.241,0,,,,,,,,,,,,,0.91,0.11,-0.11,0,,,,,,,,,,,,,,,,,,,,,17.9323000,0.0073000,-0.0073000,5.1580000,0.0290000,-0.0290000
16 Cyg B b,1,Published Confirmed,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,,,,,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,,,,,4.36,0.01,-0.01,0,,,,,,,,,21.1397000,0.0110000,-0.0111000,4.9930000,0.0370000,-0.0370000
17 Sco b,1,Published Confirmed,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.060000,0.030000,-0.020000,0,,,,,,,,,,,,,,,,,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,2.254,0.026,-0.024,0,1.70,0.04,-0.06,0,5.130,2.120,-1.330,0,329.49,92.40,-92.40,1,124.9530000,2.5900000,-2.5900000,2.9430000,0.2700000,-0.2700000
18 Del b,1,Published Confirmed,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,,,,,,,,,Msini,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,,,,,,,,,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,1.602,,,0,2.82,0.06,-0.06,0,,,,,,,,,76.2220000,0.6217000,-0.6217000,4.0320000,0.2360000,-0.2360000
1RXS J160929.1-210524 b,1,Published Confirmed,,,,,330.000000,,,0,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1700,100,-100,0,,,,,,,,,4060.00,300.00,-200.00,0,,,,,0.85,0.20,-0.10,0,,,,,-0.370,0.150,-0.150,0,,,,,0.005,,,0,,,,,139.1350000,1.3320000,-1.3070000,9.8200000,0.0270000,-0.0270000
24 Boo b,1,Published Confirmed,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,,,,,,,,,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,1.774,0.047,-0.053,0,2.42,0.10,-0.10,0,6.920,4.830,-2.750,0,,,,,95.9863000,0.6368500,-0.6368500,3.8450000,0.2400000,-0.2400000
24 Sex b,1,Published Confirmed,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,,,,,,,,,Msini,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,,,,,,,,,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,1.164,0.003,-0.003,0,3.50,0.10,-0.10,0,2.700,0.400,-0.400,0,,,,,72.0691000,0.6854000,-0.6728000,5.2920000,0.3380000,-0.3380000
