 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_C7	rel_flux_T8	rel_flux_T9	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_T8	rel_flux_err_T9	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_T8	rel_flux_SNR_T9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_T8	Y(IJ)_T8	X(FITS)_T8	Y(FITS)_T8	RA_T8	DEC_T8	Source-Sky_T8	Source_Error_T8	Source_SNR_T8	Peak_T8	Mean_T8	Sky/Pixel_T8	FWHM_T8	Width_T8	X-Width_T8	Y-Width_T8	Angle_T8	Roundness_T8	X(IJ)_T9	Y(IJ)_T9	X(FITS)_T9	Y(FITS)_T9	RA_T9	DEC_T9	Source-Sky_T9	Source_Error_T9	Source_SNR_T9	Peak_T9	Mean_T9	Sky/Pixel_T9	FWHM_T9	Width_T9	X-Width_T9	Y-Width_T9	Angle_T9	Roundness_T9
1	TIC_99869022.01-S001-R003-C001-g_out_lin.fts	1.000000	0.000000	58884.414884	2458884.414884	2458884.413843	2458884.418572	2458884.419403	1.466668	42.907594	-19.977101	180.000000	11.104789	61.463480	7.781664	15.021120	1.200000	26.000000	44.000000	56.000000	0.695851	0.227291	0.175357	0.324438	0.418696	0.068691	0.065237	0.092781	0.082991	0.000861	0.000525	0.000464	0.000648	0.000779	0.000348	0.000345	0.000347	0.000341	808.099167	433.079522	378.098670	500.511918	537.384372	197.139342	188.837442	267.124100	243.338484	2029827.155043	1861.909261	1112.855360	738.314284	1113.355360	734.185716	11.125383	61.352590	1412456.795399	708.850248	1173.226816	1203.907698	18761.000000	1992.602528	390.411783	3170.000000	7.639312	12.311294	12.316691	12.305896	43.411018	0.999750	1266.835275	260.123119	1267.335275	1212.376881	11.122670	61.262919	375919.016543	778.229744	483.043754	5339.000000	530.322191	387.936066	7.567357	12.461932	12.521357	12.402507	27.121759	0.999734	1168.706977	265.998658	1169.206977	1206.501342	11.125132	61.265730	302839.819818	742.897817	407.646668	4340.000000	427.226796	387.528611	7.618469	12.109495	12.194141	12.024849	335.405206	0.999542	285.379508	1017.400635	285.879508	455.099365	11.145678	61.417637	497232.592457	833.792891	596.350242	6643.000000	701.463524	386.379257	7.781973	12.517232	12.357730	12.676734	270.439043	0.999351	1948.159371	580.563749	1948.659371	891.936251	11.104663	61.308770	599057.023606	877.462818	682.714995	7354.000000	845.110834	386.639719	8.222029	12.516409	12.446373	12.586444	49.942130	0.995750	579.961109	837.136732	580.461109	635.363268	11.138636	61.379844	130468.493667	650.870167	200.452410	2081.000000	184.056497	387.071099	7.644770	12.293855	11.763338	12.824373	68.004789	0.985663	763.898098	753.164922	764.398098	719.335078	11.134179	61.361403	124310.208952	648.370141	191.727227	2016.000000	175.368788	387.020466	7.701558	12.371740	12.158220	12.585260	276.625327	0.998743	1267.779847	481.939061	1268.279847	990.560939	11.122098	61.303228	188328.949728	683.532545	275.523018	2814.000000	265.682280	388.934351	7.743984	12.896617	12.791744	13.001490	68.750508	0.999513	1581.313632	758.415223	1581.813632	714.084777	11.113481	61.347837	168457.052355	674.809055	249.636621	2438.000000	237.648294	390.395899	8.115521	12.182467	12.114088	12.250845	286.743326	0.999819
2	TIC_99869022.01-S001-R004-C001-g_out_lin.fts	2.000000	0.000000	58884.418299	2458884.418299	2458884.417257	2458884.421986	2458884.422817	1.450808	43.495573	-20.417621	180.000000	11.104789	61.463480	8.365910	14.999726	1.200000	26.000000	44.000000	56.000000	0.690889	0.226418	0.175976	0.324801	0.417494	0.070069	0.064463	0.092593	0.082870	0.000849	0.000519	0.000460	0.000643	0.000770	0.000345	0.000341	0.000344	0.000337	813.396427	436.665920	382.446679	505.408359	541.965699	203.012338	189.279193	269.332026	246.133919	2047625.173132	1859.515232	1113.425431	734.463821	1113.925431	738.036179	11.125392	61.352659	1414681.337516	706.832476	1172.352686	1206.702859	19893.000000	2001.437943	386.654795	3214.000000	7.426816	12.032559	11.807516	12.257603	69.811717	0.997591	1267.458205	256.367166	1267.958205	1216.132834	11.122676	61.262951	378027.741790	776.604296	486.770088	5651.000000	534.819430	384.003943	7.363345	12.205479	11.959732	12.451227	59.175355	0.992815	1169.360146	262.266537	1169.860146	1210.233463	11.125134	61.265755	306411.515437	742.908851	412.448331	4789.000000	433.499486	384.534558	7.080932	11.939993	11.633342	12.246644	73.948437	0.996328	285.746903	1013.594713	286.246903	458.905287	11.145672	61.417659	502015.705833	833.771369	602.102356	7015.000000	710.232937	382.855689	7.818386	12.288126	12.093235	12.483017	77.432160	0.998773	1948.767148	576.812615	1949.267148	895.687385	11.104692	61.308935	603086.215185	877.346986	687.397603	7658.000000	853.223692	383.622567	8.146246	12.424606	12.297049	12.552163	53.568164	0.995145	580.337470	833.394949	580.837470	639.105051	11.138636	61.379886	134080.759094	649.071688	206.573113	2254.000000	189.692415	382.757238	7.286868	12.386400	12.227962	12.544838	85.067558	0.999326	764.486683	749.417429	764.986683	723.082571	11.134178	61.361450	124003.235792	645.416623	192.128977	2142.000000	175.435114	384.425023	7.444688	11.831432	11.762341	11.900524	303.466417	0.999112	1268.419762	478.082521	1268.919762	994.417479	11.122107	61.303274	189596.685300	682.570242	277.768753	3005.000000	268.234259	385.716279	7.284004	12.585426	12.209755	12.961098	68.773387	0.993465	1581.870910	754.647094	1582.370910	717.852906	11.113504	61.347980	169687.226333	671.967283	252.523048	2672.000000	240.067105	386.006534	7.660237	12.443311	11.785792	13.100829	76.737444	0.986126
3	TIC_99869022.01-S001-R005-C001-g_out_lin.fts	3.000000	0.000000	58884.421806	2458884.421806	2458884.420764	2458884.425493	2458884.426324	1.435002	44.100434	-20.417621	180.000000	11.104789	61.463480	7.965578	14.102698	1.200000	26.000000	44.000000	56.000000	0.692597	0.226309	0.176462	0.324776	0.416030	0.070643	0.064423	0.092747	0.083375	0.000823	0.000497	0.000440	0.000617	0.000739	0.000326	0.000320	0.000326	0.000318	841.279130	455.616362	401.344614	526.048223	563.230557	216.802429	201.248898	284.698584	262.051084	2056592.603645	1786.016367	1113.695185	730.445019	1114.195185	742.054981	11.125385	61.352679	1424389.405988	624.819114	1156.081624	1232.083770	23420.000000	2279.682829	383.471184	3251.000000	6.934588	11.212798	10.933189	11.492407	271.209347	0.997511	1267.660006	252.235537	1268.160006	1220.264463	11.122695	61.262977	379533.923767	747.781114	507.546817	6980.000000	607.430079	380.423429	6.622827	11.131929	11.072057	11.191801	63.853541	0.999691	1169.591687	258.147050	1170.091687	1214.352950	11.125149	61.265810	308476.080679	712.195149	433.134207	5502.000000	493.704616	379.898067	6.740624	10.876491	10.775169	10.977812	55.730969	0.997407	286.156073	1009.505050	286.656073	462.994950	11.145626	61.417866	504184.250483	806.711232	624.987270	7864.000000	806.928340	379.397872	7.172963	11.483628	11.082528	11.884728	281.274406	0.994293	1949.021662	572.766748	1949.521662	899.733252	11.104716	61.308731	604226.975402	850.940584	710.069524	8598.000000	967.043039	379.001500	7.756956	11.654852	11.506982	11.802723	57.901951	0.996603	580.674470	829.340990	581.174470	643.159010	11.138608	61.380040	135697.757961	614.592152	220.793184	2485.000000	217.179268	379.179994	7.049473	11.670801	11.601703	11.739899	310.691131	0.993756	764.776803	745.297959	765.276803	727.202041	11.134160	61.361551	124473.615354	608.974169	204.398843	2484.000000	199.215441	380.952688	6.867839	10.846502	10.020123	11.672882	86.198667	0.976640	1268.650738	474.024289	1269.150738	998.475711	11.122116	61.303281	190743.673302	649.184098	293.820619	3477.000000	305.278230	381.121990	6.894478	12.231722	11.946524	12.516920	77.782563	0.997379	1582.100952	750.534009	1582.600952	721.965991	11.113511	61.347845	171467.713921	637.160221	269.112396	2892.000000	274.427766	381.420178	7.284546	11.942095	11.393123	12.491066	76.646487	0.989452
4	TIC_99869022.01-S001-R006-C001-g_out_lin.fts	4.000000	0.000000	58884.425127	2458884.425127	2458884.424086	2458884.428815	2458884.429646	1.420471	44.674050	-20.417621	180.000000	11.104789	61.463480	8.418215	14.896287	1.200000	26.000000	44.000000	56.000000	0.697223	0.226393	0.176019	0.325007	0.417091	0.069297	0.065306	0.091783	0.082112	0.000845	0.000511	0.000453	0.000634	0.000760	0.000339	0.000335	0.000337	0.000331	825.317480	442.718640	388.666126	512.552819	548.944354	204.636985	194.879944	271.991593	248.176479	2065506.614124	1848.656475	1112.686268	738.169513	1113.186268	734.330487	11.125398	61.352586	1440118.104344	697.117457	1176.196902	1224.385222	20506.000000	2065.818451	380.516826	3162.000000	7.367465	12.040425	11.841107	12.239742	270.595817	0.998904	1266.743547	260.058394	1267.243547	1212.441606	11.122700	61.262828	381294.609062	772.794451	493.397188	5873.000000	546.958917	379.167171	7.370361	11.719897	11.639120	11.800674	83.647736	0.999800	1168.581602	265.938175	1169.081602	1206.561825	11.125155	61.265645	309151.438213	737.324198	419.288339	4813.000000	443.471090	378.487211	7.138899	12.041098	11.723520	12.358676	285.148532	0.996273	285.047019	1017.261589	285.547019	455.238411	11.145637	61.417720	506642.395045	829.963319	610.439502	6776.000000	726.767620	377.450317	7.832751	12.365761	12.016338	12.715184	279.633371	0.996422	1948.056834	580.532386	1948.556834	891.967614	11.104734	61.308730	607938.753928	874.670079	695.049217	7811.000000	872.075069	377.799631	8.002345	12.380085	12.195358	12.564813	80.784288	0.999011	579.674749	837.117186	580.174749	635.382814	11.138616	61.379902	133858.123645	643.003330	208.176408	2121.000000	192.016600	378.093617	7.723923	12.353324	12.031475	12.675172	67.498874	0.994577	763.668954	753.062071	764.168954	719.437929	11.134171	61.361421	126621.294230	639.790892	197.910436	2124.000000	181.635524	378.497525	7.400869	12.934084	13.396752	12.471417	325.630677	0.961175	1267.662013	481.804016	1268.162013	990.695984	11.122125	61.303168	189577.538901	676.029948	280.427723	2973.000000	271.944903	379.780920	7.366357	12.030461	11.971789	12.089134	66.906626	0.999802	1581.108101	758.412639	1581.608101	714.087361	11.113528	61.347848	169603.528602	666.326919	254.535009	2620.000000	243.292614	381.006325	7.595390	12.197181	11.587019	12.807343	85.073982	0.989740
5	TIC_99869022.01-S001-R007-C001-g_out_lin.fts	5.000000	0.000000	58884.428565	2458884.428565	2458884.427523	2458884.432252	2458884.433083	1.405873	45.268172	-19.977101	180.000000	11.104789	61.463480	8.132855	13.549535	1.200000	26.000000	44.000000	56.000000	0.691044	0.227147	0.175188	0.326276	0.416730	0.069596	0.064510	0.092530	0.082654	0.000805	0.000484	0.000425	0.000604	0.000722	0.000313	0.000307	0.000314	0.000306	858.935014	469.061256	412.180352	540.381642	577.277665	222.668947	209.862405	294.875212	269.682022	2064520.026576	1742.600407	1112.212364	739.622385	1112.712364	732.877615	11.125385	61.352681	1426673.472258	576.764716	1143.994812	1247.097852	22946.000000	2473.579664	378.478078	3213.000000	7.043017	11.013964	11.058084	10.969844	335.103043	0.999846	1266.231278	261.583325	1266.731278	1210.916675	11.122660	61.263001	382145.586596	731.196542	522.630462	6479.000000	662.567553	376.650000	6.965886	11.192301	11.199591	11.185012	42.692379	0.999738	1168.103463	267.442856	1168.603463	1205.057144	11.125120	61.265787	307762.740255	692.112902	444.671295	5314.000000	533.601886	376.497590	6.850654	10.893005	10.983007	10.803002	2.608785	0.999725	284.653582	1018.855210	285.153582	453.644790	11.145677	61.417611	507890.194523	791.720151	641.502169	8085.000000	880.584718	374.441860	7.291132	11.331408	11.341215	11.321602	316.131828	0.998080	1947.399637	582.007700	1947.899637	890.492300	11.104675	61.309054	607276.438425	837.267612	725.307452	8621.000000	1052.901507	375.151431	7.774042	11.327002	11.353891	11.300114	19.924876	0.999962	579.314995	838.642829	579.814995	633.857171	11.138632	61.379866	134333.743046	592.409581	226.758221	2542.000000	232.909086	375.598583	7.134669	10.865879	10.770715	10.961043	53.870215	0.996696	763.293542	754.576335	763.793542	717.923665	11.134175	61.361435	125111.323730	586.686086	213.250879	2356.000000	216.919170	376.432061	7.159950	10.554755	9.457656	11.651854	279.742024	0.952407	1267.166971	483.283614	1267.666971	989.216386	11.122094	61.303322	191029.662326	627.445166	304.456346	3280.000000	331.208996	377.535517	7.141196	11.913387	11.889594	11.937179	300.288309	0.999934	1580.640022	759.817910	1581.140022	712.682090	11.113491	61.348055	170640.849823	616.137140	276.952709	3003.000000	295.858684	378.361033	7.416936	11.350704	11.209541	11.491867	294.591833	0.998552
6	TIC_99869022.01-S001-R008-C001-g_out_lin.fts	6.000000	0.000000	58884.432049	2458884.432049	2458884.431007	2458884.435736	2458884.436567	1.391523	45.870630	-19.977101	180.000000	11.104789	61.463480	8.268381	14.488018	1.200000	26.000000	44.000000	56.000000	0.692194	0.226800	0.176424	0.323499	0.419514	0.069116	0.064457	0.092497	0.083098	0.000829	0.000503	0.000445	0.000622	0.000751	0.000329	0.000325	0.000330	0.000323	835.267246	451.109480	396.640026	520.218867	558.705827	209.772552	198.093750	279.990156	257.490776	2067897.736820	1816.334713	1112.057280	734.976570	1112.557280	737.523430	11.125371	61.352532	1431386.178462	659.428630	1164.486665	1229.199287	21479.000000	2170.646091	379.859890	3290.000000	7.261799	11.483633	11.192536	11.774731	273.984010	0.997383	1266.137355	256.893986	1266.637355	1215.606014	11.122644	61.262761	382294.898979	760.410350	502.748153	6151.000000	579.736580	378.845568	7.083626	11.326390	11.222625	11.430156	295.777843	0.999132	1167.987596	262.709382	1168.487596	1209.790618	11.125103	61.265533	310115.270206	724.536104	428.019071	5125.000000	470.278747	378.115669	7.188917	11.490531	11.121089	11.859973	276.074031	0.995682	284.527146	1014.079499	285.027146	458.420501	11.145648	61.417427	505450.070232	817.777928	618.077418	7604.000000	766.497005	377.465649	7.286807	11.836133	11.358346	12.313919	270.063805	0.993503	1947.494081	577.325895	1947.994081	895.174105	11.104671	61.308929	611133.247662	864.527135	706.898862	8070.000000	926.761775	377.903305	7.945969	11.759152	11.558901	11.959403	67.845923	0.997736	578.988666	833.949151	579.488666	638.550849	11.138613	61.379688	133684.209706	626.292400	213.453348	2304.000000	202.727336	376.441256	7.280578	11.820843	10.819150	12.822537	82.928368	0.969887	763.183996	749.832449	763.683996	722.667551	11.134153	61.361243	125220.040035	622.483130	201.162142	2227.000000	189.891725	377.952585	7.354538	11.795877	11.547762	12.043992	276.227533	0.998146	1267.038921	478.608434	1267.538921	993.891566	11.122081	61.303129	191275.093248	662.168377	288.861715	3154.000000	290.061857	379.544260	7.210345	11.812815	11.837995	11.787635	326.028886	0.999871	1580.572707	755.133435	1581.072707	717.366565	11.113484	61.347937	171838.293836	650.064951	264.340192	2749.000000	260.586644	379.458359	7.669994	12.041442	11.415099	12.667785	72.412614	0.983889
7	TIC_99869022.01-S001-R009-C001-g_out_lin.fts	7.000000	0.000000	58884.435579	2458884.435579	2458884.434537	2458884.439266	2458884.440097	1.377428	46.481216	-19.977101	180.000000	11.104789	61.463480	8.807061	14.546968	1.200000	26.000000	44.000000	56.000000	0.693782	0.227375	0.176064	0.322668	0.419214	0.069778	0.064370	0.092424	0.082626	0.000831	0.000503	0.000444	0.000621	0.000750	0.000330	0.000325	0.000330	0.000323	835.305722	451.867082	396.695301	519.610519	558.588680	211.464144	197.859016	280.447226	255.520868	2062045.908429	1810.833048	1109.860756	736.293259	1110.360756	736.206741	11.125391	61.352579	1430610.068226	664.805847	1164.010083	1229.035805	18971.000000	2151.921608	372.951363	3144.000000	7.806618	11.839801	11.710480	11.969122	57.824502	0.997454	1263.951172	258.167834	1264.451172	1214.332166	11.122666	61.263020	382000.644273	758.197563	503.827318	5687.000000	574.604820	368.078034	7.480518	12.199648	12.199942	12.199354	44.980265	0.995101	1165.816016	264.085612	1166.316016	1208.414388	11.125126	61.265819	308701.579345	721.138847	428.075093	4648.000000	464.348472	368.851551	7.656791	11.913635	11.986660	11.840610	33.272856	0.999051	282.209922	1015.391697	282.709922	457.108303	11.145683	61.417429	503040.860526	815.524649	616.830971	6602.000000	756.673339	368.940959	8.003309	12.040923	11.830291	12.251554	74.213230	0.998315	1945.241726	578.502110	1945.741726	893.997890	11.104680	61.308935	609096.723053	862.199213	706.445464	7507.000000	916.202415	368.591705	8.202806	12.065341	12.054572	12.076109	45.590117	0.992490	576.787036	835.162978	577.287036	637.337022	11.138642	61.379727	134499.936680	624.887186	215.238750	2124.000000	202.314611	368.047533	7.909667	12.509095	12.449700	12.568489	300.041476	0.999637	760.840711	751.201467	761.340711	721.298533	11.134183	61.361334	124706.164552	620.692853	200.914452	2003.000000	187.582833	369.969363	7.956075	12.580223	12.320117	12.840329	64.119476	0.995540	1264.920241	479.915462	1265.420241	992.584538	11.122099	61.303282	190581.896323	658.632554	289.359970	2876.000000	286.673014	370.769997	7.782640	11.682521	11.989267	11.375775	27.576398	0.991565	1578.459816	756.338693	1578.959816	716.161307	11.113495	61.347900	170378.747011	649.786187	262.207400	2424.000000	256.283466	372.046756	8.196742	11.435427	10.889938	11.980916	86.682142	0.990817
8	TIC_99869022.01-S001-R010-C001-g_out_lin.fts	8.000000	0.000000	58884.438970	2458884.438970	2458884.437928	2458884.442657	2458884.443488	1.364299	47.067679	-19.977101	180.000000	11.104789	61.463479	8.382557	14.526258	1.200000	26.000000	44.000000	56.000000	0.692324	0.228211	0.176579	0.326006	0.415289	0.069208	0.063942	0.091678	0.081394	0.000825	0.000502	0.000442	0.000622	0.000741	0.000327	0.000323	0.000328	0.000321	838.962844	455.047836	399.226764	524.194894	560.405454	211.470464	198.147238	279.837106	253.830912	2071517.739129	1809.193503	1110.304902	731.937009	1110.804902	740.562991	11.125397	61.352784	1434161.002818	662.914273	1163.325899	1232.811032	20819.000000	2163.418501	367.968586	2999.000000	7.435147	11.633868	11.362653	11.905083	77.027153	0.997314	1264.255967	253.857227	1264.755967	1218.642773	11.122707	61.263210	384904.290003	758.251073	507.621161	6122.000000	580.624533	366.927810	7.147617	11.708215	11.418753	11.997678	87.308189	0.997536	1166.059283	259.761678	1166.559283	1212.738322	11.125170	61.266062	310890.209110	721.523091	430.880471	5145.000000	468.974982	367.835108	7.134598	11.335498	10.904044	11.766953	74.706519	0.992203	282.708523	1011.088693	283.208523	461.411307	11.145685	61.418066	509294.650500	816.681957	623.614427	7521.000000	768.266232	365.458707	7.517083	11.792965	11.187315	12.398615	84.212095	0.989065	1945.594104	574.289083	1946.094104	898.210917	11.104682	61.308727	607846.548024	859.945477	706.843124	8031.000000	916.930850	366.492284	7.967150	11.992621	11.603684	12.381557	64.345422	0.989256	577.237120	830.897863	577.737120	641.602137	11.138652	61.380231	134085.005970	623.068420	215.201095	2324.000000	202.265981	364.402341	7.325644	11.710207	11.682448	11.737966	48.792967	0.998710	761.271746	746.914217	761.771746	725.585783	11.134196	61.361742	124497.035522	618.830326	201.181213	2246.000000	187.802617	365.333860	7.391077	11.243061	10.765143	11.720978	72.348592	0.989187	1265.229358	475.624066	1265.729358	996.875934	11.122124	61.303448	189913.460012	658.076514	288.588722	3246.000000	286.482684	369.454715	7.001411	12.220870	12.334886	12.106854	345.353537	0.999542	1578.825632	752.056069	1579.325632	720.443931	11.113492	61.347859	168609.603024	647.731296	260.307946	2653.000000	254.346014	367.292097	7.716224	11.951984	10.972718	12.931250	83.619390	0.972146
9	TIC_99869022.01-S001-R011-C001-g_out_lin.fts	9.000000	0.000000	58884.442361	2458884.442361	2458884.441319	2458884.446048	2458884.446879	1.351565	47.653828	-19.977101	180.000000	11.104789	61.463479	9.841143	16.371478	1.200000	26.000000	44.000000	56.000000	0.697032	0.225985	0.176498	0.324686	0.416318	0.069663	0.065505	0.092433	0.082545	0.000886	0.000543	0.000484	0.000671	0.000802	0.000368	0.000364	0.000364	0.000358	786.876476	416.376789	364.679474	483.668265	519.070312	189.166939	179.863711	253.735072	230.645946	2054815.642236	1958.655644	1109.059737	739.533968	1109.559737	732.966032	11.125390	61.352601	1432272.898857	842.026273	1203.840609	1189.752936	14538.000000	1700.983621	371.531915	3193.000000	8.776352	13.466894	13.411380	13.522407	54.752969	0.999390	1262.968061	261.265881	1263.468061	1211.234119	11.122665	61.262707	378762.754245	815.817850	464.273679	4223.000000	449.822964	367.111483	8.665178	13.205910	13.226789	13.185032	40.737802	0.999545	1164.775164	267.174768	1165.275164	1205.325232	11.125129	61.265505	308262.419736	783.678112	393.353361	3504.000000	366.095963	365.940224	8.710056	13.274620	13.085570	13.463670	75.222411	0.998928	281.354227	1018.778363	281.854227	453.721637	11.145704	61.417625	503643.449546	871.776533	577.720815	5241.000000	598.132702	365.911904	8.969886	13.636135	13.405295	13.866976	68.850686	0.997906	1944.324311	581.683592	1944.824311	890.816408	11.104659	61.308883	604000.013913	913.000068	661.555278	5791.000000	717.317301	367.831185	9.451382	13.774121	13.742345	13.805897	48.320476	0.998408	576.026132	838.364230	576.526132	634.135770	11.138653	61.379781	133821.512493	695.832757	192.318501	1741.000000	158.927954	367.160573	8.660705	13.162858	13.299883	13.025833	325.913073	0.996865	759.863981	754.357153	760.363981	718.142847	11.134195	61.361336	126325.492302	692.008027	182.549172	1602.000000	150.025595	368.624096	8.844712	13.724227	13.762400	13.686055	318.825762	0.998255	1263.936637	483.092942	1264.436637	989.407058	11.122098	61.303132	189932.014960	726.320991	261.498727	2233.000000	225.565426	369.819065	8.991155	13.584492	13.378849	13.790135	68.573385	0.998295	1577.489345	759.553650	1577.989345	712.946350	11.113485	61.347956	169615.309887	717.399822	236.430655	2029.000000	201.437075	369.411212	9.118306	14.242959	14.045839	14.440079	65.260705	0.998186
10	TIC_99869022.01-S001-R012-C001-g_out_lin.fts	10.000000	0.000000	58884.445741	2458884.445741	2458884.444699	2458884.449428	2458884.450259	1.339256	48.237445	-20.417621	180.000000	11.104789	61.463479	7.939105	13.454530	1.200000	26.000000	44.000000	56.000000	0.695439	0.225330	0.176559	0.325348	0.416933	0.069398	0.065435	0.092005	0.082894	0.000803	0.000478	0.000423	0.000598	0.000716	0.000308	0.000305	0.000310	0.000303	866.202997	471.454563	417.824221	544.310207	582.006128	225.383904	214.836808	296.686687	273.502026	2069041.768924	1730.350793	1106.708455	746.431730	1107.208455	726.068270	11.125379	61.352642	1438893.002957	568.704840	1145.145455	1256.515491	25268.000000	2530.122661	370.453434	3195.000000	6.748800	10.765154	10.436661	11.093647	84.654987	0.996150	1260.720768	268.231698	1261.220768	1204.268302	11.122651	61.262994	380483.475914	725.259144	524.617275	7240.000000	669.035059	368.428083	6.611278	10.784793	10.528693	11.040892	83.975790	0.997644	1162.441833	274.141318	1162.941833	1198.358682	11.125119	61.265800	310488.925006	688.214859	451.151150	5911.000000	545.957944	368.052340	6.550380	11.011047	10.828093	11.194000	73.994028	0.998465	279.128649	1025.689741	279.628649	446.810259	11.145702	61.417598	507910.912700	786.991650	645.382848	8642.000000	893.101090	368.021251	7.018726	10.682808	10.248980	11.116635	274.939124	0.993226	1942.103010	588.599922	1942.603010	883.900078	11.104633	61.308927	608816.235272	833.368747	730.548436	9210.000000	1070.531131	368.416183	7.530484	11.199141	10.765830	11.632451	72.456368	0.991084	573.614732	845.457148	574.114732	627.042852	11.138652	61.379857	134268.700526	584.915482	229.552311	2746.000000	236.095583	367.050729	6.676240	11.087396	10.236613	11.938180	84.008770	0.975674	757.711188	761.451370	758.211188	711.048630	11.134184	61.361434	127073.519507	581.797130	218.415515	2610.000000	223.443710	368.965581	6.626638	9.675252	9.707599	9.642906	40.092704	0.998461	1261.681891	489.996423	1262.181891	982.503577	11.122083	61.303292	190361.667475	621.561065	306.263822	3714.000000	334.728411	370.133814	6.757847	11.103043	10.661887	11.544198	283.559710	0.992054	1575.363577	766.493953	1575.863577	706.006047	11.113461	61.347945	171511.912253	610.471036	280.950122	3056.000000	301.583353	370.830986	7.090412	11.594036	11.482008	11.706064	85.896805	0.999619
