Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0160.TIC99869022.01.fits	2459258.847284000	0.548678000	0.000811000	1.160000000	0.842818000	1.001574021	0.001480425
fl.debias.st.0162.TIC99869022.01.fits	2459258.848510000	0.546308000	0.000807000	1.160000000	0.844045000	0.997247749	0.001473123
fl.debias.st.0164.TIC99869022.01.fits	2459258.849749000	0.548948000	0.000809000	1.160000000	0.845284000	1.002066888	0.001476774
fl.debias.st.0166.TIC99869022.01.fits	2459258.850964000	0.547274000	0.000806000	1.160000000	0.846499000	0.999011115	0.001471298
fl.debias.st.0168.TIC99869022.01.fits	2459258.852202000	0.547253000	0.000807000	1.160000000	0.847737000	0.998972781	0.001473123
fl.debias.st.0170.TIC99869022.01.fits	2459258.853406000	0.545895000	0.000806000	1.160000000	0.848941000	0.996493846	0.001471298
fl.debias.st.0172.TIC99869022.01.fits	2459258.854645000	0.548165000	0.000807000	1.160000000	0.850179000	1.000637575	0.001473123
fl.debias.st.0174.TIC99869022.01.fits	2459258.855860000	0.547588000	0.000808000	1.160000000	0.851395000	0.999584301	0.001474949
fl.debias.st.0176.TIC99869022.01.fits	2459258.857087000	0.547355000	0.000807000	1.160000000	0.852622000	0.999158975	0.001473123
fl.debias.st.0178.TIC99869022.01.fits	2459258.858290000	0.547175000	0.000806000	1.150000000	0.853825000	0.998823788	0.001471288
fl.debias.st.0180.TIC99869022.01.fits	2459258.859506000	0.548645000	0.000808000	1.150000000	0.855041000	1.001507154	0.001474939
fl.debias.st.0182.TIC99869022.01.fits	2459258.860744000	0.545939000	0.000805000	1.150000000	0.856279000	0.996567570	0.001469463
fl.debias.st.0184.TIC99869022.01.fits	2459258.861959000	0.547960000	0.000807000	1.150000000	0.857494000	1.000256742	0.001473113
fl.debias.st.0186.TIC99869022.01.fits	2459258.863163000	0.549983000	0.000808000	1.150000000	0.858698000	1.003949565	0.001474939
fl.debias.st.0188.TIC99869022.01.fits	2459258.864390000	0.546887000	0.000804000	1.150000000	0.859925000	0.998298067	0.001467637
fl.debias.st.0190.TIC99869022.01.fits	2459258.865617000	0.549692000	0.000808000	1.150000000	0.861152000	1.003418368	0.001474939
fl.debias.st.0192.TIC99869022.01.fits	2459258.866820000	0.548416000	0.000805000	1.150000000	0.862355000	1.001089133	0.001469463
fl.debias.st.0194.TIC99869022.01.fits	2459258.868036000	0.548257000	0.000803000	1.150000000	0.863571000	1.000798892	0.001465812
fl.debias.st.0196.TIC99869022.01.fits	2459258.869274000	0.548059000	0.000804000	1.150000000	0.864809000	1.000437459	0.001467637
fl.debias.st.0198.TIC99869022.01.fits	2459258.870478000	0.548143000	0.000805000	1.150000000	0.866013000	1.000590794	0.001469463
fl.debias.st.0200.TIC99869022.01.fits	2459258.871681000	0.548342000	0.000804000	1.150000000	0.867216000	1.000954052	0.001467637
fl.debias.st.0202.TIC99869022.01.fits	2459258.872897000	0.548877000	0.000805000	1.150000000	0.868432000	1.001930652	0.001469463
fl.debias.st.0204.TIC99869022.01.fits	2459258.874135000	0.548918000	0.000806000	1.150000000	0.869670000	1.002005494	0.001471288
fl.debias.st.0206.TIC99869022.01.fits	2459258.875327000	0.548901000	0.000806000	1.150000000	0.870862000	1.001974462	0.001471288
fl.debias.st.0208.TIC99869022.01.fits	2459258.876531000	0.546935000	0.000804000	1.150000000	0.872066000	0.998385687	0.001467637
fl.debias.st.0210.TIC99869022.01.fits	2459258.877781000	0.548300000	0.000805000	1.150000000	0.873316000	1.000877385	0.001469463
fl.debias.st.0212.TIC99869022.01.fits	2459258.878996000	0.548593000	0.000804000	1.150000000	0.874531000	1.001412233	0.001467637
fl.debias.st.0214.TIC99869022.01.fits	2459258.880235000	0.549361000	0.000806000	1.150000000	0.875770000	1.002814155	0.001471288
fl.debias.st.0216.TIC99869022.01.fits	2459258.881450000	0.546409000	0.000804000	1.150000000	0.876985000	0.997425517	0.001467637
fl.debias.st.0218.TIC99869022.01.fits	2459258.882688000	0.546832000	0.000803000	1.150000000	0.878223000	0.998197669	0.001465812
fl.debias.st.0220.TIC99869022.01.fits	2459258.883904000	0.549032000	0.000806000	1.150000000	0.879439000	1.002213592	0.001471288
fl.debias.st.0222.TIC99869022.01.fits	2459258.885130000	0.547405000	0.000803000	1.150000000	0.880666000	0.999243635	0.001465812
fl.debias.st.0224.TIC99869022.01.fits	2459258.886346000	0.545904000	0.000801000	1.150000000	0.881881000	0.996503680	0.001462161
fl.debias.st.0226.TIC99869022.01.fits	2459258.887596000	0.546504000	0.000803000	1.150000000	0.883131000	0.997598932	0.001465812
fl.debias.st.0228.TIC99869022.01.fits	2459258.888799000	0.545813000	0.000801000	1.150000000	0.884334000	0.996337567	0.001462161
fl.debias.st.0230.TIC99869022.01.fits	2459258.890049000	0.547655000	0.000804000	1.150000000	0.885584000	0.999699989	0.001467637
fl.debias.st.0232.TIC99869022.01.fits	2459258.891253000	0.547409000	0.000804000	1.150000000	0.886788000	0.999250936	0.001467637
fl.debias.st.0234.TIC99869022.01.fits	2459258.892503000	0.547654000	0.000803000	1.150000000	0.888038000	0.999698164	0.001465812
fl.debias.st.0236.TIC99869022.01.fits	2459258.893707000	0.548319000	0.000806000	1.150000000	0.889242000	1.000912068	0.001471288
fl.debias.st.0238.TIC99869022.01.fits	2459258.894922000	0.549819000	0.000807000	1.150000000	0.890457000	1.003650197	0.001473113
fl.debias.st.0240.TIC99869022.01.fits	2459258.896160000	0.547926000	0.000804000	1.150000000	0.891696000	1.000194678	0.001467637
fl.debias.st.0242.TIC99869022.01.fits	2459258.897376000	0.548475000	0.000805000	1.150000000	0.892911000	1.001196833	0.001469463
fl.debias.st.0244.TIC99869022.01.fits	2459258.898591000	0.545863000	0.000800000	1.160000000	0.894126000	0.996435432	0.001460345
fl.debias.st.0246.TIC99869022.01.fits	2459258.899818000	0.548028000	0.000803000	1.160000000	0.895353000	1.000387491	0.001465821
fl.debias.st.0248.TIC99869022.01.fits	2459258.901010000	0.548595000	0.000805000	1.160000000	0.896545000	1.001422510	0.001469472
fl.debias.st.0250.TIC99869022.01.fits	2459258.902225000	0.548037000	0.000804000	1.160000000	0.897760000	1.000403920	0.001467647
fl.debias.st.0252.TIC99869022.01.fits	2459258.903429000	0.548498000	0.000804000	1.160000000	0.898964000	1.001245443	0.001467647
fl.debias.st.0254.TIC99869022.01.fits	2459258.904621000	0.547858000	0.000803000	1.160000000	0.900156000	1.000077167	0.001465821
fl.debias.st.0256.TIC99869022.01.fits	2459258.905836000	0.549402000	0.000808000	1.160000000	0.901372000	1.002895633	0.001474949
fl.debias.st.0258.TIC99869022.01.fits	2459258.907051000	0.547891000	0.000805000	1.160000000	0.902587000	1.000137407	0.001469472
fl.debias.st.0260.TIC99869022.01.fits	2459258.908267000	0.549240000	0.000806000	1.160000000	0.903802000	1.002599913	0.001471298
fl.debias.st.0262.TIC99869022.01.fits	2459258.909459000	0.546421000	0.000803000	1.160000000	0.904994000	0.997454023	0.001465821
fl.debias.st.0264.TIC99869022.01.fits	2459258.910674000	0.547385000	0.000803000	1.160000000	0.906209000	0.999213738	0.001465821
fl.debias.st.0266.TIC99869022.01.fits	2459258.911866000	0.547713000	0.000804000	1.160000000	0.907402000	0.999812480	0.001467647
fl.debias.st.0268.TIC99869022.01.fits	2459258.913082000	0.547539000	0.000805000	1.160000000	0.908617000	0.999494855	0.001469472
fl.debias.st.0270.TIC99869022.01.fits	2459258.914308000	0.548529000	0.000806000	1.170000000	0.909844000	1.001308658	0.001471307
fl.debias.st.0272.TIC99869022.01.fits	2459258.915512000	0.549395000	0.000807000	1.170000000	0.911047000	1.002889492	0.001473133
fl.debias.st.0274.TIC99869022.01.fits	2459258.916727000	0.547994000	0.000805000	1.170000000	0.912263000	1.000332046	0.001469482
fl.debias.st.0276.TIC99869022.01.fits	2459258.917943000	0.545962000	0.000804000	1.170000000	0.913478000	0.996622745	0.001467657
fl.debias.st.0278.TIC99869022.01.fits	2459258.919181000	0.547287000	0.000805000	1.170000000	0.914716000	0.999041457	0.001469482
fl.debias.st.0280.TIC99869022.01.fits	2459258.920396000	0.548928000	0.000807000	1.170000000	0.915932000	1.002037010	0.001473133
fl.debias.st.0282.TIC99869022.01.fits	2459258.921623000	0.548717000	0.000805000	1.170000000	0.917159000	1.001651841	0.001469482
fl.debias.st.0284.TIC99869022.01.fits	2459258.922804000	0.548859000	0.000806000	1.170000000	0.918339000	1.001911054	0.001471307
fl.debias.st.0286.TIC99869022.01.fits	2459258.924019000	0.548151000	0.000805000	1.170000000	0.919554000	1.000618640	0.001469482
fl.debias.st.0288.TIC99869022.01.fits	2459258.925223000	0.548205000	0.000804000	1.180000000	0.920758000	1.000723837	0.001467666
fl.debias.st.0290.TIC99869022.01.fits	2459258.926449000	0.549941000	0.000807000	1.180000000	0.921985000	1.003892827	0.001473143
fl.debias.st.0292.TIC99869022.01.fits	2459258.927676000	0.549679000	0.000807000	1.180000000	0.923212000	1.003414558	0.001473143
fl.debias.st.0294.TIC99869022.01.fits	2459258.928903000	0.550014000	0.000807000	1.180000000	0.924439000	1.004026086	0.001473143
fl.debias.st.0296.TIC99869022.01.fits	2459258.930130000	0.549329000	0.000806000	1.180000000	0.925666000	1.002775649	0.001471317
fl.debias.st.0298.TIC99869022.01.fits	2459258.931334000	0.549586000	0.000806000	1.180000000	0.926869000	1.003244791	0.001471317
fl.debias.st.0300.TIC99869022.01.fits	2459258.932537000	0.548807000	0.000807000	1.180000000	0.928073000	1.001822761	0.001473143
fl.debias.st.0302.TIC99869022.01.fits	2459258.933753000	0.547810000	0.000807000	1.190000000	0.929288000	1.000009399	0.001473152
fl.debias.st.0304.TIC99869022.01.fits	2459258.934979000	0.546122000	0.000804000	1.190000000	0.930515000	0.996928010	0.001467676
fl.debias.st.0306.TIC99869022.01.fits	2459258.936206000	0.547099000	0.000806000	1.190000000	0.931742000	0.998711492	0.001471327
fl.debias.st.0308.TIC99869022.01.fits	2459258.937433000	0.548843000	0.000807000	1.190000000	0.932969000	1.001895107	0.001473152
fl.debias.st.0310.TIC99869022.01.fits	2459258.938660000	0.546984000	0.000806000	1.190000000	0.934196000	0.998501563	0.001471327
fl.debias.st.0312.TIC99869022.01.fits	2459258.939875000	0.547274000	0.000807000	1.190000000	0.935411000	0.999030949	0.001473152
fl.debias.st.0314.TIC99869022.01.fits	2459258.941102000	0.550390000	0.000811000	1.200000000	0.936638000	1.004725754	0.001480464
fl.debias.st.0316.TIC99869022.01.fits	2459258.942317000	0.547968000	0.000809000	1.200000000	0.937853000	1.000304443	0.001476813
fl.debias.st.0318.TIC99869022.01.fits	2459258.943544000	0.547595000	0.000809000	1.200000000	0.939080000	0.999623539	0.001476813
fl.debias.st.0320.TIC99869022.01.fits	2459258.944759000	0.548701000	0.000808000	1.200000000	0.940295000	1.001642519	0.001474988
fl.debias.st.0322.TIC99869022.01.fits	2459258.946114000	0.549119000	0.000809000	1.200000000	0.941649000	1.002405570	0.001476813
fl.debias.st.0324.TIC99869022.01.fits	2459258.947329000	0.547644000	0.000805000	1.210000000	0.942865000	0.999719603	0.001469521
fl.debias.st.0326.TIC99869022.01.fits	2459258.948556000	0.549550000	0.000809000	1.210000000	0.944091000	1.003198990	0.001476823
fl.debias.st.0328.TIC99869022.01.fits	2459258.949759000	0.550085000	0.000810000	1.210000000	0.945295000	1.004175628	0.001478648
fl.debias.st.0330.TIC99869022.01.fits	2459258.950963000	0.548293000	0.000809000	1.210000000	0.946499000	1.000904347	0.001476823
fl.debias.st.0332.TIC99869022.01.fits	2459258.952178000	0.548051000	0.000809000	1.210000000	0.947714000	1.000462578	0.001476823
fl.debias.st.0334.TIC99869022.01.fits	2459258.953405000	0.548492000	0.000808000	1.220000000	0.948941000	1.001274246	0.001475007
fl.debias.st.0336.TIC99869022.01.fits	2459258.954632000	0.547277000	0.000806000	1.220000000	0.950168000	0.999056259	0.001471356
fl.debias.st.0338.TIC99869022.01.fits	2459258.955824000	0.547106000	0.000808000	1.220000000	0.951360000	0.998744098	0.001475007
fl.debias.st.0340.TIC99869022.01.fits	2459258.957039000	0.547823000	0.000808000	1.220000000	0.952575000	1.000052984	0.001475007
fl.debias.st.0342.TIC99869022.01.fits	2459258.958255000	0.540599000	0.000798000	1.220000000	0.953791000	0.986865544	0.001456752
fl.debias.st.0344.TIC99869022.01.fits	2459258.959505000	0.548049000	0.000809000	1.230000000	0.955041000	1.000472169	0.001476842
fl.debias.st.0346.TIC99869022.01.fits	2459258.960732000	0.549024000	0.000810000	1.230000000	0.956267000	1.002252047	0.001478668
fl.debias.st.0348.TIC99869022.01.fits	2459258.961947000	0.546754000	0.000808000	1.230000000	0.957483000	0.998108126	0.001475017
fl.debias.st.0350.TIC99869022.01.fits	2459258.963151000	0.547606000	0.000809000	1.230000000	0.958686000	0.999663465	0.001476842
fl.debias.st.0352.TIC99869022.01.fits	2459258.964377000	0.550082000	0.000813000	1.240000000	0.959913000	1.004190088	0.001484154
