Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0161.TIC99869022.01.fits	2459258.847908000	0.682184000	0.001063000	1.160000000	0.843443000	0.995861264	0.001551782
fl.debias.st.0163.TIC99869022.01.fits	2459258.849124000	0.684963000	0.001064000	1.160000000	0.844659000	0.999918085	0.001553241
fl.debias.st.0165.TIC99869022.01.fits	2459258.850362000	0.684144000	0.001061000	1.160000000	0.845897000	0.998722498	0.001548862
fl.debias.st.0167.TIC99869022.01.fits	2459258.851566000	0.687336000	0.001070000	1.160000000	0.847101000	1.003382222	0.001562000
fl.debias.st.0169.TIC99869022.01.fits	2459258.852781000	0.685857000	0.001072000	1.160000000	0.848316000	1.001223158	0.001564920
fl.debias.st.0171.TIC99869022.01.fits	2459258.854020000	0.684160000	0.001069000	1.160000000	0.849554000	0.998745855	0.001560540
fl.debias.st.0173.TIC99869022.01.fits	2459258.855258000	0.686167000	0.001077000	1.160000000	0.850793000	1.001675700	0.001572219
fl.debias.st.0175.TIC99869022.01.fits	2459258.856462000	0.687370000	0.001083000	1.160000000	0.851997000	1.003431856	0.001580978
fl.debias.st.0177.TIC99869022.01.fits	2459258.857689000	0.684915000	0.001073000	1.150000000	0.853223000	0.999800739	0.001566306
fl.debias.st.0179.TIC99869022.01.fits	2459258.858904000	0.685439000	0.001073000	1.150000000	0.854439000	1.000565645	0.001566306
fl.debias.st.0181.TIC99869022.01.fits	2459258.860119000	0.684734000	0.001077000	1.150000000	0.855654000	0.999536525	0.001572145
fl.debias.st.0183.TIC99869022.01.fits	2459258.861357000	0.685898000	0.001072000	1.150000000	0.856892000	1.001235667	0.001564846
fl.debias.st.0185.TIC99869022.01.fits	2459258.862550000	0.684471000	0.001064000	1.150000000	0.858084000	0.999152612	0.001553168
fl.debias.st.0187.TIC99869022.01.fits	2459258.863776000	0.686710000	0.001066000	1.150000000	0.859311000	1.002420980	0.001556087
fl.debias.st.0189.TIC99869022.01.fits	2459258.864992000	0.685762000	0.001066000	1.150000000	0.860527000	1.001037142	0.001556087
fl.debias.st.0191.TIC99869022.01.fits	2459258.866219000	0.685600000	0.001057000	1.150000000	0.861753000	1.000800664	0.001542950
fl.debias.st.0193.TIC99869022.01.fits	2459258.867434000	0.685441000	0.001051000	1.150000000	0.862969000	1.000568564	0.001534191
fl.debias.st.0195.TIC99869022.01.fits	2459258.868637000	0.688548000	0.001064000	1.150000000	0.864172000	1.005103990	0.001553168
fl.debias.st.0197.TIC99869022.01.fits	2459258.869876000	0.687946000	0.001070000	1.150000000	0.865411000	1.004225224	0.001561926
