BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.353971519 1839958.0019329446 319705.0576757804 287483.2602180754 115586.96140336647 34478.28638242668 22585.73053046639 18411.94037264248 19069.574236628323 12549.323133255952 27.234995447001992 1.23 0.0 0.0 6.565520569236903
2459332.354157718 1826185.0995658878 320794.59591529565 287069.3370007821 116208.47953239744 34438.47665205272 23307.733949373636 17943.672673288776 19081.69477352363 12372.443282306063 26.517009049572927 1.23 -2.019503810666471 -0.009582991046386269 6.604735304744051
2459332.3543431303 1809477.977278844 315166.61821240885 283688.66342711076 114178.80662374139 33365.02448190974 22937.94547810177 17782.533784109386 17700.537477306585 12133.316178640205 25.794419696034044 1.23 -1.3225037229554033 -1.036310439371043 6.666778173557
2459332.3545292676 1804932.304229442 313095.1129729467 284152.74014022923 113739.33630879964 33901.425879203016 22061.666425786272 17611.74189366051 18661.635384786365 12379.401083564648 24.989514278677483 1.23 -0.71295722435665 -0.8992501705826612 6.632372643998644
2459332.3547150553 1752159.835683964 303023.6057161511 272870.77169352653 109914.37371327242 32110.88419666713 22729.588043834985 17555.8455927865 18876.761463571747 12088.056694477258 24.187874975264283 1.229 -1.2884583123231224 -0.8452362949087444 6.698888571911939
2459332.354900537 1792415.4767753957 313070.2024383123 280806.36877976655 113488.03705645315 32477.194832417008 22929.666892533438 17082.30704068103 17901.164568325577 11879.170978202063 23.63114319711768 1.229 -0.6846027515481694 -2.4643364297207384 6.676859367145423
2459332.355086298 1779857.6719519824 309947.48172107077 276361.0940900808 111877.02701704613 32768.51901303495 21979.122402024208 17805.263889983325 18116.49841893313 12215.596606377221 23.00539728102108 1.229 -1.0568642809344624 -3.8167022719901524 6.734456143223376
2459332.3552714153 1764208.1761564508 309177.54332535836 273866.06784459995 111236.58025516107 32693.566994760142 22176.44914182076 17397.59190616694 18194.90570672367 12165.369781851972 22.33042065124624 1.228 1.1096975100521078 -4.093132625755473 6.689170817359644
2459332.3554568635 1784767.635280112 310474.1531209046 278725.64356174116 111384.39950286334 32024.864715525167 22365.34851454757 17409.502865011847 17620.80820168543 12846.407678962816 21.886916939218715 1.228 1.336211537537551 -5.54923731924832 6.647289575369232
2459332.355642664 1796177.9973120173 313098.16986289865 283136.7723560402 113407.96219275323 32822.809460272765 23060.35796270796 18047.183131977887 18444.828286784643 11535.986741853398 21.197519649550255 1.228 -1.6529600113172194 -4.632000747154969 6.635131056837365
