BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.3539587935 3716932.3958106255 581374.4448643994 527463.4088037077 228592.91352030582 66507.59193592932 46586.9248869672 37879.32354557121 35384.47842717421 24156.867495418526 36.44790315495144 1.23 0.0 0.0 6.305446859709404
2459332.354144064 3696719.1231597434 580552.026625496 525035.3608674686 225617.62576475527 66101.72946794922 45952.91355378128 36889.11578318314 35391.29941129562 25191.478936354455 35.77486426281651 1.23 -2.033252677390216 0.12021596257771705 6.310242423052174
2459332.354329424 3663298.069080532 573987.1261740444 519602.2460242141 226572.58786338658 64644.854810484045 46399.61986269284 37166.00594374095 34877.39200584276 24838.486310459935 35.00681949956997 1.23 -1.5984338767173938 -1.0765651007601633 6.399126330448171
2459332.354514742 3645116.5222667083 569353.9187130965 516366.33925200027 224675.3812090202 65339.9490806447 46476.60291091315 36680.5122574502 35001.75271345544 25019.681450772157 34.183343397671244 1.23 -0.7602596659093805 -1.0224218069536946 6.338309983263674
2459332.354699939 3531958.700048515 548958.1136952696 500849.9442400809 218035.9040800582 62706.7814681131 44981.72699481144 35327.57339106337 34609.53235115582 23498.814748547884 33.47953197567678 1.229 -1.2507265075696736 -0.7310950889324062 6.476752329320252
2459332.354885087 3611626.9173771134 565087.0800457152 513094.0872231594 222915.95100083796 63521.60853161785 46414.56518026313 36324.66951518835 35350.42780906637 25027.15481266874 32.79907331152988 1.229 -0.8448369411044823 -2.4742485759538653 6.390709949353446
2459332.3550703134 3599413.563047169 563668.4256023829 508617.5362396345 221614.12619035243 64409.150352328026 45316.142307131 36842.33649967692 34877.725264238165 23902.49309014599 32.1990158030164 1.229 -1.0588575176124024 -3.642232579844581 6.424689377403368
2459332.3552555777 3547461.0148151927 557159.2023579131 505423.5900270459 219075.4342567425 64524.67891126723 44880.10972122874 36216.26773665706 33905.695894407894 23925.851122242515 31.579313896544743 1.229 0.7514012683064379 -4.0451354087080915 6.440000003538795
2459332.35544082 3586828.526277621 560895.0833842426 510220.5242093635 219917.54050699127 64413.85792200759 45841.05308875744 36694.461949592514 34952.47774892254 24705.462970522203 31.044903637744895 1.228 1.4618336690607947 -5.740699748443674 6.427934176266362
2459332.355625855 3627991.243705758 567981.4044497408 516061.7966871696 223645.0837292141 64801.85933794177 45769.770748013805 36784.93171874253 35093.45637849206 24505.879062597407 30.503235444582103 1.228 -1.6173385221596348 -4.903900523870888 6.317864879988016
2459332.355811103 3622484.308555568 566277.5956230878 515951.7119447388 222733.87192166987 64105.723161979695 45771.85377656645 35323.725823881134 34220.953278742934 23980.93368481213 29.962647215876068 1.228 -2.8153675578960105 -4.670704321661631 6.347157131876534
2459332.35599619 3648037.5815951927 568006.7605636207 516579.4173473034 223417.4100335763 64480.165051276475 44578.655688285915 36284.22186774452 35449.132268457586 24629.144228400168 29.37627572422465 1.228 -4.854162994569684 -5.0526346357140355 6.311181832895524
2459332.3561814264 3671526.9940011175 573762.7506551238 519387.6601821929 225526.14880022503 64840.706294076896 46320.75933181634 37715.29596406594 34693.06958607596 25071.765535728046 28.914253044280436 1.227 -6.135090363098357 -5.496650452961887 6.346277368441994
2459332.3566155783 2446171.0625016545 384175.75491201226 347331.9525003739 150292.9272739715 43215.86572236978 31312.92879185101 25066.487273103354 23693.363437517924 16481.371943182225 27.428936633666275 1.227 -7.277579486648754 -5.474275170533559 6.380793666923517
2459332.356742955 2451134.7644605823 382938.15742511733 347650.9604827676 150192.87421076006 44590.349680294385 30875.932848257973 24787.63789725816 23633.75384372541 16497.136845442205 27.260655233194637 1.227 -6.907416315983575 -6.505233972348826 6.393294358053655
2459332.356870431 2460955.7598840487 386086.98364762997 349227.4903247978 151001.81866564555 43910.20867619495 31136.360919490704 25454.791918696297 23918.56864501546 16689.833791393918 27.13294819000645 1.226 -5.469705586143249 -7.27653210785229 6.36457078547061
2459332.3569983263 2447594.775200871 384504.98294494295 345724.1294678201 150101.8452716081 43489.8006622504 31040.13847431251 24721.953590526493 23753.333027162793 16467.78953700664 26.988413717575202 1.226 -4.873452831533854 -7.0461307775018724 6.394133700689951
2459332.357125902 2483265.7600660743 389231.94099717285 352027.5070902434 152223.07588721614 44791.44162816732 30737.97463697895 24868.724667117072 25328.088174329197 17183.920880313628 26.713117602658826 1.226 -5.040938200722188 -7.652375896957238 6.322523855062599
2459332.3572533955 2483585.1324344208 389322.71847860434 351439.47885920457 151166.34060035239 44711.485928740876 30761.902453691626 24720.440210098997 24155.803903447348 16061.218311548495 26.48061743915532 1.226 -2.007073652988602 -7.107150250208889 6.368346055890445
2459332.3573810165 2483794.978459085 389064.67342865176 352751.8933979841 151822.25032104575 44767.09489684513 30954.416911397057 25090.846855933123 24117.794030258214 16910.505052443594 26.272354055686712 1.226 -1.1149080348784963 -5.972248202366728 6.285537118467776
