BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 sky airmass xshift yshift sky_entropy
2459332.353972048 2083893.8557688035 393097.8819957437 353426.50475883926 135413.17883135728 38411.04695554901 25853.18996515489 20623.286711916648 22652.895146825613 14518.906881088216 32.65669525727254 1.23 0.0 0.0 6.698905200136018
2459332.354158175 2060443.3346708487 394524.91950465203 351691.0190161656 134638.95148529302 38494.574763180484 25457.90119708699 21156.665750279208 22372.82692949279 14032.535273673275 32.11296038580015 1.23 -2.0338170757977494 -0.031972897253126575 6.71956549995982
2459332.354343678 2042165.1644795372 386506.74169261736 347630.76558145566 132719.311102468 36872.4352081994 26143.187445223593 19623.456378067232 21401.741170547582 14162.481847240007 31.52912225495996 1.23 -1.410982644161244 -1.0782064531919744 6.68635782815253
2459332.354529562 2040641.4369801495 384519.5922136805 347605.7917037029 133227.02804382448 37899.39660446535 25847.329005710868 19855.67189077183 20982.319232999056 14395.567853788903 30.974431550801235 1.23 -0.7141904664793799 -0.8732670780839413 6.708645409166468
2459332.3547151657 1963265.558779535 368507.53186076006 333207.4721791791 128871.93329894435 36601.80282089021 24563.900437398202 18605.390876986028 21036.49102462546 14123.363053180889 30.404240789189853 1.229 -1.3195452014207518 -0.9039166157551577 6.785320200134909
2459332.3549004663 2019286.9384911659 382942.7326319173 342691.90610443486 131116.42562265458 37782.411202654795 25293.641177204903 20768.62029359571 21445.94294560587 13853.5200316954 29.878737877635444 1.229 -0.7346593101576531 -2.4522138203206296 6.738141532331626
2459332.35508619 1976476.0423502128 375075.8703938865 337236.6315810586 128285.99486935779 36138.83865358535 24020.635092998185 20047.360789442086 21853.592676548316 13562.32367323272 29.480147477018363 1.229 -1.0605315578951533 -3.7659703245961467 6.753968377609421
2459332.35527143 1956394.694733362 375155.9001112445 335353.5083986586 127600.19744096458 36836.11661960237 23934.122424565023 19513.487456433533 19759.33735983426 13734.43427592094 29.00419374495005 1.229 1.1032827669733365 -4.1518759683649265 6.808783989327285
2459332.3554567616 2005336.9914419022 380575.23552221915 340519.8151435448 131167.04142029418 36437.15199587331 24477.75891123619 19150.634140302805 21237.954044524493 14209.992917256197 28.59145511675416 1.228 1.2634003669117817 -5.671945864926762 6.721571983629975
2459332.3556425236 2024788.4366420987 385991.48657916125 346524.7131478691 132237.85392298354 36777.92897131655 25330.794817290793 20391.8055806208 20866.7608792214 13650.839810814592 28.137608859304116 1.228 -1.7344354584171526 -4.594442663135062 6.685332415204913
2459332.3558282647 2017276.8651896603 380988.3088255782 343404.9999342919 132435.7547209154 36638.51911667918 25310.69299364576 20388.773660934996 21310.345012599675 14863.151956692702 27.744304470197655 1.228 -2.8638710860571237 -4.798684697769204 6.718209286732174
2459332.3560136454 2051104.2248268793 388661.43945415516 349525.9073234335 132825.8293616189 37146.70473695811 26381.063604277675 19893.688852686 21542.910486638488 14666.426825302056 27.363013024749595 1.227 -4.874903918827982 -4.891355253973259 6.7288154352196745
