Label	slice	Saturated	J.D.-2400000	JD_UTC	JD	JD-OBS	JD-HELIO	AIRMASS	OBJCTALT	CCD-TEMP	EXPTIME	OBJCTRA	OBJCTDEC	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_T6	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_T6	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_T6	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_T6	Y(IJ)_T6	X(FITS)_T6	Y(FITS)_T6	RA_T6	DEC_T6	Source-Sky_T6	Source_Error_T6	Source_SNR_T6	Peak_T6	Mean_T6	Sky/Pixel_T6	FWHM_T6	Width_T6	X-Width_T6	Y-Width_T6	Angle_T6	Roundness_T6	BJD_TDB	rel_flux_T1_dfn	rel_flux_err_T1_dfn
TIC_99869022-01-S001-R001-C001-B1-E-sG.fts	1	0	59192.772164000	2459192.772164000	2459192.771759000	2459192.771759000	2459192.773409000	2.011542000	29.731800000	-19.937500000	70	11.125381000	61.352722000	4.623426000	9	16	24	0.457697000	1.192361000	0.193756000	0.243864000	0.108363000	0.119548000	0.000890000	0.002755000	0.000631000	0.000715000	0.000481000	0.000462000	514.183076000	432.740459000	307.255028000	340.849463000	225.374220000	258.626265000	641385.335667000	728.686854000	1227.410542000	820.599516000	1227.910542000	817.900484000	11.125405000	61.352593000	293560.089017000	254.469005000	463.380558000	633.518355000	10504.054688000	1153.618253000	46.083601000	887	4.790095000	6.762617000	7.185815000	6.339418000	22.664481000	0.968554000	150.549283000	829.855362000	151.049283000	808.644638000	11.152868000	61.355121000	348830.718618000	499.265678000	698.687561000	13999.150391000	1370.818103000	47.973082000	4.423741000	6.455632000	6.696860000	6.214405000	27.680374000	0.982761000	430.933210000	1171.503640000	431.433210000	466.996360000	11.145694000	61.417636000	104101.708033000	313.942441000	331.594887000	3882.438232000	409.093862000	46.570256000	4.522627000	6.635710000	7.030094000	6.241326000	24.515081000	0.967364000	2042.720677000	589.606106000	2043.220677000	1048.893894000	11.104685000	61.308804000	125745.747120000	333.365640000	377.200683000	5113.625488000	494.149561000	44.907468000	4.576567000	6.600777000	6.893163000	6.308391000	31.540445000	0.961859000	1240.925729000	346.356756000	1241.425729000	1292.143244000	11.125150000	61.265665000	62707.161896000	268.376243000	233.653923000	2288.520264000	246.423575000	43.418075000	4.719932000	6.683028000	7.154443000	6.211613000	21.596808000	0.962923000	1337.956331000	331.732056000	1338.456331000	1306.767944000	11.122686000	61.262847000	76676.457552000	283.388879000	270.569748000	2780.714844000	301.319438000	43.949695000	4.707592000	6.673590000	7.035939000	6.311240000	25.973846000	0.969144000	2459192.774888000	1.003858140	0.001952020
TIC_99869022-01-S001-R002-C001-B1-E-sG.fts	2	0	59192.773183000	2459192.773183000	2459192.772778000	2459192.772778000	2459192.774428000	2.001049000	29.904000000	-19.968750000	70	11.125381000	61.352722000	5.582803000	9	16	24	0.456099000	1.193485000	0.195276000	0.242944000	0.107498000	0.119753000	0.000887000	0.002754000	0.000632000	0.000713000	0.000479000	0.000462000	513.993553000	433.348622000	309.119338000	340.868178000	224.306338000	259.200691000	643425.982140000	729.892954000	1225.664787000	819.463493000	1226.164787000	819.036507000	11.125403000	61.352652000	293465.710932000	254.469005000	463.855367000	632.666412000	10051.713867000	1153.247371000	46.611606000	898	4.952368000	6.943136000	7.274125000	6.612147000	28.263590000	0.970253000	149.005297000	828.641671000	149.505297000	809.858329000	11.152863000	61.355097000	350090.922624000	500.193230000	699.911358000	12911.345703000	1375.770392000	49.311618000	4.782996000	6.701901000	6.889506000	6.514295000	34.002728000	0.977689000	429.314591000	1170.357197000	429.814591000	468.142803000	11.145693000	61.417600000	105118.547984000	314.807336000	333.913909000	3890.127197000	413.089791000	47.986543000	4.698782000	6.765347000	7.039142000	6.491551000	30.855776000	0.970925000	2040.744818000	588.405651000	2041.244818000	1050.094349000	11.104685000	61.308931000	125763.286596000	333.536240000	377.060336000	4778.776855000	494.218487000	45.811538000	4.763442000	6.740039000	6.942026000	6.538052000	35.147804000	0.968456000	1239.241861000	345.224286000	1239.741861000	1293.275714000	11.125142000	61.265783000	62453.224936000	268.701275000	232.426232000	2189.436279000	245.425666000	44.758537000	4.806659000	6.932089000	7.263048000	6.601130000	28.811966000	0.968346000	1336.190374000	330.569601000	1336.690374000	1307.930399000	11.122679000	61.262968000	77052.510364000	284.128927000	271.188546000	2580.547119000	302.797232000	45.328297000	4.869147000	6.917505000	7.255194000	6.579815000	28.625002000	0.967583000	2459192.775906000	1.000355141	0.001945444
TIC_99869022-01-S001-R003-C001-B1-E-sG.fts	3	0	59192.774201000	2459192.774201000	2459192.773796000	2459192.773796000	2459192.775446000	1.990739000	30.076300000	-19.968750000	70	11.125381000	61.352722000	5.532309000	9	16	24	0.456792000	1.202854000	0.193439000	0.240748000	0.108446000	0.120583000	0.000887000	0.002777000	0.000628000	0.000710000	0.000480000	0.000464000	514.814043000	433.103293000	308.117296000	339.238565000	225.951043000	260.155086000	644639.187514000	730.927492000	1223.981010000	818.814227000	1224.481010000	819.685773000	11.125381000	61.352720000	294466.210907000	254.469005000	464.424686000	634.045131000	10641.987305000	1157.179087000	48.102783000	862	4.663062000	6.634559000	6.976475000	6.292643000	27.806603000	0.966870000	147.225828000	827.932491000	147.725828000	810.567509000	11.152847000	61.355130000	352001.016585000	501.626204000	701.719754000	14157.315430000	1383.276587000	49.971157000	4.522130000	6.393247000	6.605117000	6.181377000	31.218875000	0.979527000	427.582697000	1169.717263000	428.082697000	468.782737000	11.145675000	61.417720000	104486.695087000	314.165491000	332.584889000	4227.962402000	410.606766000	48.604197000	4.515186000	6.473839000	6.803334000	6.144343000	29.419673000	0.961499000	2039.092528000	587.742551000	2039.592528000	1050.757449000	11.104659000	61.308972000	125082.330055000	333.833463000	374.684817000	4733.834961000	491.542497000	47.464410000	4.716107000	6.554428000	6.799956000	6.308901000	33.199633000	0.965080000	1237.530659000	344.538842000	1238.030659000	1293.961158000	11.125119000	61.265752000	63069.145787000	269.223722000	234.262959000	2365.807373000	247.846082000	45.448814000	4.732517000	6.687887000	7.076711000	6.299063000	26.517704000	0.962860000	1334.483241000	329.896299000	1334.983241000	1308.603701000	11.122656000	61.262939000	77732.822279000	285.499017000	272.270017000	2944.054932000	305.470689000	45.596944000	4.462048000	6.638264000	7.007171000	6.269357000	28.625217000	0.958047000	2459192.776925000	1.001848314	0.001945392
TIC_99869022-01-S001-R004-C001-B1-E-sG.fts	4	0	59192.775394000	2459192.775394000	2459192.774988000	2459192.774988000	2459192.776638000	1.978735000	30.278300000	-19.937500000	70	11.125381000	61.352722000	5.260243000	9	16	24	0.453942000	1.195011000	0.194665000	0.242523000	0.107968000	0.120374000	0.000879000	0.002743000	0.000626000	0.000709000	0.000476000	0.000461000	516.154456000	435.658607000	310.835456000	342.305059000	226.799012000	261.300172000	649491.130683000	732.948214000	1229.554141000	817.902081000	1230.054141000	820.597919000	11.125386000	61.352547000	294831.422177000	254.469005000	464.304076000	634.996412000	11865.383789000	1158.614277000	47.725253000	876	4.354994000	6.405922000	6.776224000	6.035620000	23.598913000	0.971241000	152.679941000	826.967857000	153.179941000	811.532143000	11.152844000	61.355071000	353596.863494000	503.258818000	702.614342000	16233.212891000	1389.547869000	50.307565000	4.318881000	6.082956000	6.251690000	5.914221000	32.978081000	0.981488000	433.016339000	1168.709181000	433.516339000	469.790819000	11.145670000	61.417586000	105831.588192000	315.165963000	335.796376000	4815.067871000	415.891862000	48.238954000	4.323492000	6.279482000	6.672690000	5.886273000	24.722454000	0.963188000	2044.857272000	586.942571000	2045.357272000	1051.557429000	11.104671000	61.308747000	126771.666094000	334.897171000	378.539077000	5654.576172000	498.181168000	47.310237000	4.300922000	6.226964000	6.438589000	6.015339000	33.168316000	0.971387000	1243.176109000	343.553261000	1243.676109000	1294.946739000	11.125130000	61.265611000	63291.012903000	269.180139000	235.125122000	2637.737549000	248.717964000	45.225211000	4.330297000	6.403716000	6.793299000	6.014133000	24.101221000	0.966918000	1340.098408000	328.918480000	1340.598408000	1309.581520000	11.122669000	61.262790000	78181.894025000	285.899436000	273.459420000	3255.515625000	307.235429000	45.960607000	4.400563000	6.361575000	6.714983000	6.008166000	25.781312000	0.968253000	2459192.778117000	0.995705530	0.001928055
TIC_99869022-01-S001-R005-C001-B1-E-sG.fts	5	0	59192.776412000	2459192.776412000	2459192.776007000	2459192.776007000	2459192.777656000	1.968670000	30.451100000	-19.937500000	70	11.125381000	61.352722000	5.232009000	9	16	24	0.458990000	1.196779000	0.193834000	0.242872000	0.107957000	0.120488000	0.000886000	0.002744000	0.000625000	0.000708000	0.000475000	0.000461000	518.293770000	436.148552000	310.235941000	343.045038000	227.363374000	261.474580000	649489.519651000	731.976108000	1228.984150000	817.655744000	1229.484150000	820.844256000	11.125395000	61.352639000	298109.374363000	254.469005000	466.851104000	638.553432000	12537.943359000	1171.495815000	46.782557000	861	4.471711000	6.266230000	6.525527000	6.006934000	28.278952000	0.977525000	152.144418000	826.782920000	152.644418000	811.717080000	11.152843000	61.355112000	353834.158240000	502.702150000	703.864423000	16401.236328000	1390.480378000	49.982344000	4.278237000	6.029658000	6.193365000	5.865950000	30.087037000	0.988098000	432.367279000	1168.490520000	432.867279000	470.009480000	11.145678000	61.417694000	105452.594087000	314.855027000	334.924282000	4995.926758000	414.402509000	48.338792000	4.368297000	6.083488000	6.326026000	5.840951000	29.613254000	0.975790000	2043.913781000	586.754416000	2044.413781000	1051.745584000	11.104694000	61.308862000	126917.813478000	334.478254000	379.450120000	5940.892578000	498.755491000	46.728325000	4.292248000	6.058563000	6.206304000	5.910823000	34.799422000	0.980449000	1242.493110000	343.465352000	1242.993110000	1295.034648000	11.125138000	61.265655000	63284.953846000	268.458902000	235.734235000	2869.937256000	248.694154000	44.491477000	4.437861000	6.126458000	6.439115000	5.813801000	25.452306000	0.973939000	1339.390166000	328.833406000	1339.890166000	1309.666594000	11.122678000	61.262837000	78255.776321000	285.996626000	273.624824000	3469.265381000	307.525769000	45.364493000	4.283459000	6.145917000	6.430146000	5.861688000	25.705770000	0.978103000	2459192.779136000	1.006680367	0.001943221
TIC_99869022-01-S001-R006-C001-B1-E-sG.fts	6	0	59192.777419000	2459192.777419000	2459192.777014000	2459192.777014000	2459192.778663000	1.958721000	30.622100000	-19.968750000	70	11.125381000	61.352722000	5.285951000	9	16	24	0.455181000	1.199543000	0.191885000	0.241266000	0.110219000	0.121081000	0.000878000	0.002744000	0.000619000	0.000704000	0.000478000	0.000461000	518.243068000	437.150585000	309.780552000	342.822115000	230.568185000	262.902788000	653155.609000000	734.146599000	1228.817463000	817.451846000	1229.317463000	821.048154000	11.125397000	61.352608000	297304.181868000	254.469005000	466.300320000	637.580908000	11720.395508000	1168.331609000	48.499431000	831	4.463866000	6.414505000	6.697478000	6.131531000	24.694443000	0.981699000	152.002416000	826.661266000	152.502416000	811.838734000	11.152873000	61.355226000	356204.990386000	504.192385000	706.486256000	16041.708984000	1399.797160000	50.251918000	4.351001000	6.083247000	6.176192000	5.990303000	35.141393000	0.991800000	432.127229000	1168.357499000	432.627229000	470.142501000	11.145697000	61.417702000	105153.337182000	314.680580000	334.158966000	4719.381348000	413.226504000	48.575273000	4.403186000	6.192195000	6.371799000	6.012591000	31.461141000	0.983787000	2043.958245000	586.491356000	2044.458245000	1052.008644000	11.104674000	61.308766000	126954.257131000	335.114413000	378.838547000	5575.158203000	498.898705000	46.797346000	4.231648000	6.210444000	6.386432000	6.034456000	33.840768000	0.977763000	1242.341963000	343.186476000	1242.841963000	1295.313524000	11.125148000	61.265706000	64843.024301000	270.990278000	239.281737000	2733.657715000	254.816984000	44.538059000	4.473640000	6.422844000	6.685435000	6.160252000	26.045048000	0.982348000	1339.351309000	328.542843000	1339.851309000	1309.957157000	11.122683000	61.262877000	79084.774517000	287.379992000	275.192347000	3292.588623000	310.783526000	45.392113000	4.560356000	6.381674000	6.696530000	6.066818000	25.572919000	0.975380000	2459192.780143000	0.998414827	0.001925845
TIC_99869022-01-S001-R007-C001-B1-E-sG.fts	7	0	59192.778426000	2459192.778426000	2459192.778021000	2459192.778021000	2459192.779670000	1.948901000	30.793300000	-19.968750000	70	11.125381000	61.352722000	5.442517000	9	16	24	0.454432000	1.201058000	0.191866000	0.240748000	0.110263000	0.120772000	0.000879000	0.002752000	0.000621000	0.000704000	0.000478000	0.000461000	516.940810000	436.434067000	309.183624000	342.158604000	230.611625000	262.174778000	651803.532326000	733.788993000	1229.072816000	817.031248000	1229.572816000	821.468752000	11.125410000	61.352609000	296200.165214000	254.469005000	465.961502000	635.675187000	10583.325195000	1163.993097000	48.717237000	851	4.790223000	6.650788000	6.882190000	6.419386000	30.696342000	0.978929000	152.234569000	826.156438000	152.734569000	812.343562000	11.152888000	61.354971000	355671.672509000	504.394325000	705.146063000	14554.063477000	1397.701353000	51.291573000	4.471579000	6.368183000	6.480466000	6.255900000	36.093861000	0.986719000	432.402797000	1167.932839000	432.902797000	470.567161000	11.145721000	61.417586000	104927.198500000	314.632427000	333.491368000	4236.741211000	412.337835000	49.068373000	4.375614000	6.413408000	6.594122000	6.232694000	34.146812000	0.976819000	2044.140203000	586.087957000	2044.640203000	1052.412043000	11.104681000	61.308912000	126472.395438000	334.521819000	378.069197000	4803.510742000	497.005109000	47.680831000	4.573406000	6.460245000	6.641122000	6.279368000	34.572536000	0.975297000	1242.723905000	342.793588000	1243.223905000	1295.706412000	11.125143000	61.265629000	64732.265880000	270.433427000	239.364884000	2496.051025000	254.381731000	45.819212000	4.587161000	6.628973000	6.850026000	6.407920000	31.875338000	0.977312000	1339.623221000	328.129950000	1340.123221000	1310.370050000	11.122680000	61.262816000	78719.822374000	286.880702000	274.399156000	3034.080078000	309.349354000	46.002805000	4.571167000	6.588246000	6.885030000	6.291463000	29.377393000	0.969953000	2459192.781150000	0.996625154	0.001927755
TIC_99869022-01-S001-R008-C001-B1-E-sG.fts	8	0	59192.779444000	2459192.779444000	2459192.779039000	2459192.779039000	2459192.780689000	1.939118000	30.966600000	-19.937500000	70	11.125381000	61.352722000	5.658032000	9	16	24	0.456713000	1.192219000	0.193078000	0.243510000	0.109265000	0.120621000	0.000883000	0.002735000	0.000625000	0.000710000	0.000477000	0.000461000	517.392610000	435.908452000	309.072614000	342.820104000	228.876443000	261.811558000	650114.495209000	733.333632000	1228.787912000	817.043944000	1229.287912000	821.456056000	11.125382000	61.352534000	296916.024027000	254.469005000	465.996763000	637.163276000	10309.902344000	1166.806245000	48.495215000	866	4.937480000	6.811602000	7.138019000	6.485186000	20.623735000	0.983826000	152.029709000	826.119712000	152.529709000	812.380288000	11.152848000	61.355016000	353559.011484000	502.802317000	703.176973000	13231.773438000	1389.399120000	50.424997000	4.664820000	6.584714000	6.868372000	6.301057000	20.621776000	0.986919000	432.277588000	1167.869099000	432.777588000	470.630901000	11.145676000	61.417522000	105209.115144000	315.494374000	333.473823000	3759.994873000	413.445697000	48.924647000	4.714633000	6.693926000	7.043174000	6.344678000	20.052156000	0.981489000	2043.996211000	586.103555000	2044.496211000	1052.396445000	11.104660000	61.308784000	127308.525664000	335.707939000	379.224054000	4818.682617000	500.290893000	47.306094000	4.689892000	6.622709000	6.831151000	6.414267000	30.313034000	0.983564000	1242.406744000	342.740514000	1242.906744000	1295.759486000	11.125124000	61.265637000	64037.842916000	269.687829000	237.451735000	2245.532471000	251.652821000	45.425857000	4.725148000	6.753030000	7.119188000	6.386871000	20.712308000	0.979206000	1339.406650000	328.121393000	1339.906650000	1310.378607000	11.122660000	61.262823000	78417.428938000	286.159097000	274.034374000	2824.668213000	308.161023000	45.547931000	4.773701000	6.776809000	7.115043000	6.438576000	21.626253000	0.981310000	2459192.782168000	1.001462092	0.001936207
TIC_99869022-01-S001-R009-C001-B1-E-sG.fts	9	0	59192.780463000	2459192.780463000	2459192.780058000	2459192.780058000	2459192.781707000	1.929452000	31.140100000	-19.968750000	70	11.125381000	61.352722000	5.344379000	9	16	24	0.454141000	1.199453000	0.192129000	0.242047000	0.109406000	0.119961000	0.000875000	0.002738000	0.000618000	0.000704000	0.000476000	0.000457000	518.811920000	438.020037000	310.981035000	343.839865000	229.829094000	262.510938000	655759.388917000	735.648678000	1229.211277000	816.968371000	1229.711277000	821.531629000	11.125395000	61.352576000	297807.370490000	254.469005000	466.777880000	638.006605000	11842.346680000	1170.309015000	47.542224000	876	4.567954000	6.485473000	6.692208000	6.278738000	33.595391000	0.973009000	152.217745000	826.129023000	152.717745000	812.370977000	11.152860000	61.354992000	357612.767378000	505.344604000	707.661197000	16354.921875000	1405.329374000	51.128867000	4.336864000	6.215665000	6.256647000	6.174682000	41.766830000	0.986291000	432.463978000	1167.872919000	432.963978000	470.627081000	11.145694000	61.417579000	105685.293750000	314.926446000	335.587231000	4524.757324000	415.316961000	48.670011000	4.203966000	6.315441000	6.448651000	6.182231000	37.422110000	0.973988000	2044.585384000	586.019259000	2045.085384000	1052.480741000	11.104672000	61.308848000	127792.654330000	336.230600000	380.074433000	5504.880859000	502.193398000	47.421572000	4.263197000	6.324613000	6.497994000	6.151232000	35.960549000	0.968832000	1242.749305000	342.658915000	1243.249305000	1295.841085000	11.125134000	61.265596000	64668.673460000	271.249195000	238.410563000	2644.274658000	254.131828000	45.348692000	4.499646000	6.481278000	6.727300000	6.235257000	33.576405000	0.961880000	1339.788630000	327.993478000	1340.288630000	1310.506522000	11.122669000	61.262778000	78665.346520000	286.376072000	274.692456000	3205.417236000	309.135278000	45.834020000	4.536619000	6.476951000	6.715635000	6.238267000	32.282891000	0.970629000	2459192.783187000	0.995982458	0.001918974
TIC_99869022-01-S001-R010-C001-B1-E-sG.fts	10	0	59192.781470000	2459192.781470000	2459192.781065000	2459192.781065000	2459192.782714000	1.919869000	31.311800000	-19.968750000	70	11.125381000	61.352722000	5.212705000	9	16	24	0.456356000	1.195485000	0.193115000	0.243368000	0.108511000	0.121661000	0.000878000	0.002728000	0.000620000	0.000706000	0.000473000	0.000459000	519.911948000	438.230032000	311.683056000	344.523932000	229.459614000	265.156160000	655873.129052000	735.859190000	1229.159724000	816.793432000	1229.659724000	821.706568000	11.125412000	61.352633000	299311.721294000	254.469005000	467.606708000	640.092874000	12070.713867000	1176.220740000	48.906820000	886	4.444702000	6.324387000	6.640868000	6.007905000	26.347785000	0.972865000	152.298752000	825.905223000	152.798752000	812.594777000	11.152854000	61.355186000	357135.868530000	505.668056000	706.265433000	16657.578125000	1403.455280000	50.679636000	4.216078000	6.016860000	6.172487000	5.861232000	30.569863000	0.988529000	432.663004000	1167.593523000	433.163004000	470.906477000	11.145683000	61.417701000	106158.415866000	315.474393000	336.504066000	5047.850586000	417.176213000	49.519567000	4.301505000	6.097898000	6.332235000	5.863560000	29.718497000	0.977220000	2044.275662000	585.899226000	2044.775662000	1052.600774000	11.104714000	61.308821000	128376.005855000	336.890723000	381.061267000	5937.217773000	504.485825000	47.785455000	4.201768000	6.087799000	6.275680000	5.899918000	34.288631000	0.971496000	1242.765979000	342.486583000	1243.265979000	1296.013417000	11.125158000	61.265684000	64202.838801000	269.757508000	238.002046000	2788.465088000	252.301214000	44.656787000	4.379278000	6.336297000	6.676937000	5.995657000	26.142792000	0.969284000	1339.796807000	327.855244000	1340.296807000	1310.644756000	11.122695000	61.262861000	79794.054211000	287.307302000	277.730686000	3413.539551000	313.570819000	45.450669000	4.388518000	6.262739000	6.586309000	5.939170000	26.804745000	0.969827000	2459192.784194000	1.000769467	0.001925417
