Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	rel_flux_T1_n	rel_flux_err_T1_n	rel_flux_T1_dfn	rel_flux_err_T1_dfn
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002032_2CALCAL_out.fit	1	0	58897.514606000	2458897.514606000	2458897.514259000	2458897.516924000	2458897.517738000	1.239777000	53.708848000	-37.650000000	60	14.274703000	58.390444000	6.410110000	15	30	44	0.272229000	5.052813000	0.197910000	0.000390000	0.009886000	0.000387000	698.668153000	511.084989000	511.084989000	1932711.044874000	1175.190909000	963.424185000	688.340219000	963.924185000	412.159781000	14.274767000	58.390374000	526139.296781000	706.858347000	681.726276000	771.775000000	11061	744.334843000	176.134065000	2631	6.108466000	9.478898000	9.706420000	9.251375000	356.347739000	0.997660000	2140109.271201000	102.232640000	888.117905000	102.732640000	212.382095000	14.254491000	58.361215000	1613403.158606000	1015.445804000	1588.861909000	28190	2282.498559000	169.083027000	6.882434000	9.836809000	10.193848000	9.479770000	4.068559000	0.994637000	17558302.753827000	332.709816000	652.218958000	333.209816000	448.281042000	14.260110000	58.402509000	319307.886268000	591.560219000	539.772412000	6313	451.728253000	166.156214000	6.239431000	9.711985000	10.212085000	9.211886000	4.088899000	0.989232000	727131.335120000	0.998628000	0.001431000	1.002156137	0.001435706
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002218_3CALCAL_out.fit	2	0	58897.515949000	2458897.515949000	2458897.515486000	2458897.518267000	2458897.519081000	1.235891000	53.955841000	-38.040000000	80	14.274703000	58.390444000	8.256913000	15	30	44	0.274845000	4.974983000	0.201006000	0.000328000	0.008017000	0.000324000	838.126784000	620.581829000	620.581829000	2596560.828527000	1335.245333000	962.279643000	689.211751000	962.779643000	411.288249000	0.000000000	0.000000000	713651.153705000	706.858347000	768.339817000	928.822297000	15909	1009.609856000	233.577199000	2745	5.987112000	9.077989000	9.524493000	8.631485000	359.583053000	0.990368000	4370499.299281000	101.060489000	889.137407000	101.560489000	211.362593000	0.000000000	0.000000000	2161988.761189000	1160.572544000	1862.863957000	44770	3058.588429000	223.322354000	6.501957000	9.309974000	9.866877000	8.753072000	356.992917000	0.985631000	36729120.416824000	331.609980000	653.056606000	332.109980000	447.443394000	0.000000000	0.000000000	434572.067338000	660.266212000	658.177050000	10123	614.793712000	220.903825000	5.871561000	9.021227000	9.499742000	8.542713000	0.324856000	0.988807000	1665196.033025000	1.008224000	0.001203000	1.011544752	0.001207177
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002454_4CALCAL_out.fit	3	0	58897.517639000	2458897.517639000	2458897.517292000	2458897.519957000	2458897.520771000	1.231079000	54.265932000	-38.410000000	60	14.274703000	58.390444000	9.202498000	15	30	44	0.272140000	5.066848000	0.197361000	0.000392000	0.010003000	0.000390000	694.993984000	506.514683000	506.514683000	1913973.606958000	1171.161457000	962.019729000	690.062770000	962.519729000	410.437230000	0.000000000	0.000000000	520868.320562000	706.858347000	678.309719000	767.891578000	10808	736.877937000	176.905891000	2666	6.222367000	9.275017000	9.655038000	8.894996000	359.175366000	0.993302000	2159035.854460000	100.670041000	890.031440000	101.170041000	210.468560000	0.000000000	0.000000000	1598492.861300000	1011.706782000	1579.996191000	28235	2261.404803000	169.092120000	6.801656000	9.632951000	10.041833000	9.224069000	353.601930000	0.992449000	17776685.488059000	331.180205000	653.865476000	331.680205000	446.634524000	0.000000000	0.000000000	315480.745659000	589.973344000	534.737288000	6331	446.313957000	167.526632000	6.326557000	9.474869000	9.891942000	9.057795000	355.405835000	0.992077000	751437.308204000	0.998301000	0.001438000	1.001293074	0.001442298
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002604_5CALCAL_out.fit	4	0	58897.518449000	2458897.518449000	2458897.518102000	2458897.520767000	2458897.521581000	1.228803000	54.414285000	-38.580000000	60	14.274703000	58.390444000	9.416741000	15	30	44	0.272093000	5.027329000	0.198913000	0.000381000	0.009589000	0.000379000	713.294954000	524.292265000	524.292265000	1977820.552699000	1183.045327000	961.551825000	690.236678000	962.051825000	410.263322000	0.000000000	0.000000000	538151.679042000	706.858347000	682.341095000	788.684257000	12019	761.328888000	171.405552000	2811	6.060741000	9.092552000	9.425544000	8.759560000	3.773137000	0.994556000	2439340.421303000	100.203337000	890.072196000	100.703337000	210.427804000	0.000000000	0.000000000	1649678.423977000	1024.400187000	1610.384735000	31395	2333.817562000	163.960935000	6.769532000	9.344879000	9.787695000	8.902064000	2.015985000	0.991014000	20596005.447814000	330.794363000	654.026802000	331.294363000	446.473198000	0.000000000	0.000000000	328142.128722000	591.777409000	554.502628000	6965	464.226150000	162.019210000	6.217453000	9.203203000	9.675855000	8.730550000	9.309663000	0.988314000	875406.442529000	0.998129000	0.001398000	1.000980160	0.001401629
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002714_6CALCAL_out.fit	5	0	58897.519259000	2458897.519259000	2458897.518912000	2458897.521577000	2458897.522391000	1.226547000	54.562424000	-38.720000000	60	14.274703000	58.390444000	10.616756000	15	30	44	0.269879000	5.079393000	0.196874000	0.000385000	0.009866000	0.000382000	701.213193000	514.841794000	514.841794000	1949082.985079000	1176.428630000	960.347547000	690.181682000	960.847547000	410.318318000	0.000000000	0.000000000	526016.648401000	706.858347000	679.651607000	773.950423000	7932	744.161331000	175.045926000	2800	7.211897000	10.688928000	10.354457000	11.023399000	76.298480000	0.995041000	1449016.781160000	99.083468000	889.978733000	99.583468000	210.521267000	0.000000000	0.000000000	1628478.102180000	1018.020985000	1599.650819000	22481	2303.825242000	166.739803000	7.597914000	10.714347000	10.488237000	10.940457000	73.039282000	0.997415000	13443553.421181000	329.667426000	653.992972000	330.167426000	446.507028000	0.000000000	0.000000000	320604.882899000	589.591041000	543.775024000	4599	453.563128000	164.688929000	7.623715000	10.754969000	10.571286000	10.938652000	66.209158000	0.997437000	516300.247457000	0.990007000	0.001412000	0.992697672	0.001416148
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002824_7CALCAL_out.fit	6	0	58897.520069000	2458897.520069000	2458897.519722000	2458897.522388000	2458897.523201000	1.224310000	54.710342000	-38.850000000	60	14.274703000	58.390444000	10.393930000	15	30	44	0.269642000	5.054552000	0.197841000	0.000388000	0.009881000	0.000387000	695.598962000	511.520014000	511.520014000	1924804.367028000	1171.032956000	961.525881000	686.632299000	962.025881000	413.867701000	0.000000000	0.000000000	519007.441960000	706.858347000	676.022534000	767.736896000	9065	734.245332000	176.024788000	2818	6.707904000	10.070112000	10.434592000	9.705632000	352.347348000	0.994382000	1692987.765442000	100.061427000	886.447457000	100.561427000	214.052543000	0.000000000	0.000000000	1606894.099340000	1012.512420000	1587.036433000	25107	2273.290124000	168.000000000	7.132078000	10.326828000	10.760083000	9.893573000	352.136996000	0.992428000	15032552.661167000	330.619686000	650.428775000	331.119686000	450.071225000	0.000000000	0.000000000	317910.267687000	588.333905000	540.356871000	5422	449.751027000	165.049326000	6.725052000	10.237982000	10.674189000	9.801774000	355.227059000	0.992560000	620554.609943000	0.989138000	0.001423000	0.991689640	0.001426987
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_002934_8CALCAL_out.fit	7	0	58897.520880000	2458897.520880000	2458897.520532000	2458897.523198000	2458897.524012000	1.222093000	54.858035000	-39.020000000	60	14.274703000	58.390444000	9.627392000	15	30	44	0.273057000	5.038638000	0.198466000	0.000387000	0.009764000	0.000385000	704.842448000	516.019734000	516.019734000	1940583.438909000	1174.325126000	960.875492000	687.086404000	961.375492000	413.413596000	0.000000000	0.000000000	529890.367716000	706.858347000	679.970566000	779.284272000	11965	749.641523000	174.088721000	2805	5.919149000	8.947733000	9.211290000	8.684175000	11.676865000	0.995890000	2494121.618285000	99.608158000	887.114486000	100.108158000	213.385514000	0.000000000	0.000000000	1619222.316133000	1015.795887000	1594.042993000	31007	2290.730983000	164.871273000	6.558737000	9.368850000	9.781430000	8.956271000	5.514816000	0.991979000	19970907.907727000	330.300560000	651.083657000	330.800560000	449.416343000	0.000000000	0.000000000	321361.122776000	589.235282000	545.386763000	7153	454.632989000	163.072014000	6.010359000	9.061034000	9.435173000	8.686895000	9.245817000	0.992443000	880528.090510000	1.001665000	0.001420000	1.004112604	0.001423115
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003044_9CALCAL_out.fit	8	0	58897.521690000	2458897.521690000	2458897.521343000	2458897.524008000	2458897.524822000	1.219895000	55.005498000	-39.130000000	60	14.274703000	58.390444000	9.284604000	15	30	44	0.273368000	4.996150000	0.200154000	0.000392000	0.009748000	0.000391000	697.097671000	512.554373000	512.554373000	1912263.445231000	1168.093191000	960.269842000	687.586468000	960.769842000	412.913532000	0.000000000	0.000000000	522751.631012000	706.858347000	678.513877000	770.436167000	12088	739.542276000	175.927862000	2811	5.978628000	8.848151000	9.295785000	8.400518000	355.108091000	0.989512000	2479617.918749000	98.893628000	887.481999000	99.393628000	213.018001000	0.000000000	0.000000000	1593348.229826000	1009.002302000	1579.132403000	34168	2254.126639000	166.889869000	6.290693000	9.033761000	9.539528000	8.527995000	359.187018000	0.987530000	21571338.990757000	329.432312000	651.464868000	329.932312000	449.035132000	0.000000000	0.000000000	318915.215405000	588.520227000	541.893381000	7411	451.172737000	164.192458000	5.957099000	8.917703000	9.394344000	8.441063000	1.383237000	0.988611000	920930.227067000	1.002806000	0.001438000	1.005120571	0.001441307
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003154_10CALCAL_out.fit	9	0	58897.522500000	2458897.522500000	2458897.522153000	2458897.524818000	2458897.525632000	1.217717000	55.152724000	-39.210000000	60	14.274703000	58.390444000	9.563827000	15	30	44	0.271484000	5.054046000	0.197861000	0.000390000	0.009903000	0.000388000	695.896607000	510.373010000	510.373010000	1915869.861455000	1168.619896000	960.818812000	687.307875000	961.318812000	413.192125000	0.000000000	0.000000000	520128.705757000	706.858347000	676.745917000	768.573097000	10445	735.831596000	175.029710000	2872	6.287362000	9.480435000	9.920703000	9.040167000	1.236940000	0.991395000	2043365.403121000	99.597909000	887.285647000	100.097909000	213.214353000	0.000000000	0.000000000	1599408.786499000	1010.533636000	1582.736813000	29289	2262.700572000	166.653602000	6.705088000	9.577209000	10.045974000	9.108443000	3.569565000	0.990313000	18261046.374326000	330.096138000	651.215099000	330.596138000	449.284901000	0.000000000	0.000000000	316461.074956000	586.936309000	539.174473000	6253	447.700839000	164.605850000	6.414428000	9.474586000	10.017554000	8.931618000	5.482980000	0.986459000	750936.488329000	0.995895000	0.001431000	0.998059996	0.001433762
OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003304_11CALCAL_out.fit	10	0	58897.523310000	2458897.523310000	2458897.522963000	2458897.525628000	2458897.526442000	1.215558000	55.299709000	-39.280000000	60	14.274703000	58.390444000	9.693233000	15	30	44	0.270671000	5.064347000	0.197459000	0.000389000	0.009943000	0.000388000	695.133042000	509.358058000	509.358058000	1916171.206169000	1169.358875000	961.195742000	687.714594000	961.695742000	412.785406000	0.000000000	0.000000000	518652.400264000	706.858347000	675.658766000	767.624763000	10736	733.743051000	174.008285000	2774	6.201064000	9.292792000	9.642316000	8.943269000	0.804944000	0.994353000	2145821.490031000	99.847449000	887.756363000	100.347449000	212.743637000	0.000000000	0.000000000	1600197.990993000	1011.161955000	1582.533820000	28813	2263.817068000	166.082302000	6.866039000	9.629762000	10.013144000	9.246380000	355.263093000	0.993504000	17923883.573170000	330.413045000	651.655110000	330.913045000	448.844890000	0.000000000	0.000000000	315973.215176000	587.325873000	537.986201000	6264	447.010658000	163.476208000	6.448769000	9.539060000	9.967968000	9.110151000	4.794224000	0.991716000	738269.467186000	0.992913000	0.001427000	0.994939274	0.001429896
