Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0632.TIC445859771.01.fits	2458892.865972000	0.212309000	0.000252000	1.380000000	1.001115423	0.001188273
fl.debias.st.0634.TIC445859771.01.fits	2458892.867384000	0.213239000	0.000254000	1.370000000	1.005352125	0.001197527
fl.debias.st.0636.TIC445859771.01.fits	2458892.868796000	0.212330000	0.000251000	1.370000000	1.001066487	0.001183383
fl.debias.st.0638.TIC445859771.01.fits	2458892.870197000	0.212269000	0.000250000	1.360000000	1.000631020	0.001178494
fl.debias.st.0640.TIC445859771.01.fits	2458892.871609000	0.212419000	0.000250000	1.360000000	1.001338116	0.001178494
fl.debias.st.0642.TIC445859771.01.fits	2458892.873021000	0.212973000	0.000251000	1.350000000	1.003801340	0.001183033
fl.debias.st.0644.TIC445859771.01.fits	2458892.874433000	0.213034000	0.000251000	1.350000000	1.004088850	0.001183033
fl.debias.st.0646.TIC445859771.01.fits	2458892.875845000	0.212236000	0.000249000	1.340000000	1.000179891	0.001173433
fl.debias.st.0648.TIC445859771.01.fits	2458892.877280000	0.212481000	0.000249000	1.340000000	1.001334474	0.001173433
fl.debias.st.0650.TIC445859771.01.fits	2458892.878704000	0.213332000	0.000250000	1.330000000	1.005196401	0.001177972
fl.debias.st.0652.TIC445859771.01.fits	2458892.880151000	0.212153000	0.000249000	1.320000000	0.999493469	0.001173087
fl.debias.st.0654.TIC445859771.01.fits	2458892.881551000	0.212505000	0.000249000	1.320000000	1.001151808	0.001173087
fl.debias.st.0656.TIC445859771.01.fits	2458892.882975000	0.212966000	0.000249000	1.310000000	1.003175529	0.001172914
fl.debias.st.0658.TIC445859771.01.fits	2458892.884387000	0.212443000	0.000248000	1.310000000	1.000711939	0.001168203
fl.debias.st.0660.TIC445859771.01.fits	2458892.885811000	0.211995000	0.000248000	1.310000000	0.998601637	0.001168203
fl.debias.st.0662.TIC445859771.01.fits	2458892.887211000	0.212512000	0.000248000	1.300000000	1.000889184	0.001168031
fl.debias.st.0664.TIC445859771.01.fits	2458892.888623000	0.213292000	0.000249000	1.300000000	1.004562828	0.001172740
fl.debias.st.0666.TIC445859771.01.fits	2458892.890047000	0.212758000	0.000248000	1.290000000	1.001899888	0.001167858
fl.debias.st.0668.TIC445859771.01.fits	2458892.891482000	0.212739000	0.000248000	1.290000000	1.001810415	0.001167858
fl.debias.st.0670.TIC445859771.01.fits	2458892.892906000	0.212709000	0.000247000	1.280000000	1.001521313	0.001162977
fl.debias.st.0672.TIC445859771.01.fits	2458892.894318000	0.213069000	0.000248000	1.280000000	1.003216340	0.001167686
fl.debias.st.0674.TIC445859771.01.fits	2458892.895730000	0.212102000	0.000247000	1.270000000	0.998515943	0.001162806
fl.debias.st.0676.TIC445859771.01.fits	2458892.897142000	0.213107000	0.000248000	1.270000000	1.003247198	0.001167514
fl.debias.st.0678.TIC445859771.01.fits	2458892.898554000	0.212985000	0.000248000	1.270000000	1.002672857	0.001167514
fl.debias.st.0680.TIC445859771.01.fits	2458892.899966000	0.212557000	0.000246000	1.260000000	1.000510318	0.001157927
